seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxjew0v008u3n6lfp6v2l22,3136,front,,Normal Gait,normal,"{'top': 243.0, 'left': 345.0, 'height': 147.0, 'width': 59.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3137,front,,Normal Gait,normal,"{'top': 243.125, 'left': 345.3125, 'height': 146.625, 'width': 58.8125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3138,front,,Normal Gait,normal,"{'top': 243.25, 'left': 345.625, 'height': 146.25, 'width': 58.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3139,front,,Normal Gait,normal,"{'top': 243.375, 'left': 345.9375, 'height': 145.875, 'width': 58.4375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3140,front,,Normal Gait,normal,"{'top': 243.5, 'left': 346.25, 'height': 145.5, 'width': 58.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3141,front,,Normal Gait,normal,"{'top': 243.625, 'left': 346.5625, 'height': 145.125, 'width': 58.0625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3142,front,,Normal Gait,normal,"{'top': 243.75, 'left': 346.875, 'height': 144.75, 'width': 57.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3143,front,,Normal Gait,normal,"{'top': 243.875, 'left': 347.1875, 'height': 144.375, 'width': 57.6875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3144,front,,Normal Gait,normal,"{'top': 244.0, 'left': 347.5, 'height': 144.0, 'width': 57.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3145,front,,Normal Gait,normal,"{'top': 244.125, 'left': 347.8125, 'height': 143.625, 'width': 57.3125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3146,front,,Normal Gait,normal,"{'top': 244.25, 'left': 348.125, 'height': 143.25, 'width': 57.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3147,front,,Normal Gait,normal,"{'top': 244.375, 'left': 348.4375, 'height': 142.875, 'width': 56.9375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjew0v008u3n6lfp6v2l22,3148,front,,Normal Gait,normal,"{'top': 244.5, 'left': 348.75, 'height': 142.5, 'width': 56.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
