seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxjiy2z009a3n6lt8814xvn,3948,front,,Normal Gait,normal,"{'top': 234.0, 'left': 420.0, 'height': 83.0, 'width': 36.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3949,front,,Normal Gait,normal,"{'top': 234.67857142857142, 'left': 420.14285714285717, 'height': 82.82142857142858, 'width': 35.92857142857139}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3950,front,,Normal Gait,normal,"{'top': 235.35714285714286, 'left': 420.2857142857143, 'height': 82.64285714285714, 'width': 35.85714285714289}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3951,front,,Normal Gait,normal,"{'top': 236.03571428571428, 'left': 420.42857142857144, 'height': 82.46428571428572, 'width': 35.78571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3952,front,,Normal Gait,normal,"{'top': 236.71428571428572, 'left': 420.57142857142856, 'height': 82.28571428571428, 'width': 35.71428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3953,front,,Normal Gait,normal,"{'top': 237.39285714285714, 'left': 420.7142857142857, 'height': 82.10714285714286, 'width': 35.64285714285711}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3954,front,,Normal Gait,normal,"{'top': 238.07142857142858, 'left': 420.85714285714283, 'height': 81.92857142857142, 'width': 35.57142857142861}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3955,front,,Normal Gait,normal,"{'top': 238.75, 'left': 421.0, 'height': 81.75, 'width': 35.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3956,front,,Normal Gait,normal,"{'top': 239.42857142857142, 'left': 421.14285714285717, 'height': 81.57142857142858, 'width': 35.42857142857139}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3957,front,,Normal Gait,normal,"{'top': 240.10714285714286, 'left': 421.2857142857143, 'height': 81.39285714285714, 'width': 35.35714285714289}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3958,front,,Normal Gait,normal,"{'top': 240.78571428571428, 'left': 421.42857142857144, 'height': 81.21428571428572, 'width': 35.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3959,front,,Normal Gait,normal,"{'top': 241.46428571428572, 'left': 421.57142857142856, 'height': 81.03571428571428, 'width': 35.21428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3960,front,,Normal Gait,normal,"{'top': 242.14285714285714, 'left': 421.7142857142857, 'height': 80.85714285714286, 'width': 35.14285714285711}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3961,front,,Normal Gait,normal,"{'top': 242.82142857142858, 'left': 421.85714285714283, 'height': 80.67857142857142, 'width': 35.07142857142861}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3962,front,,Normal Gait,normal,"{'top': 243.5, 'left': 422.0, 'height': 80.5, 'width': 35.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3963,front,,Normal Gait,normal,"{'top': 244.17857142857142, 'left': 422.14285714285717, 'height': 80.32142857142858, 'width': 34.92857142857139}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3964,front,,Normal Gait,normal,"{'top': 244.85714285714286, 'left': 422.2857142857143, 'height': 80.14285714285714, 'width': 34.85714285714289}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3965,front,,Normal Gait,normal,"{'top': 245.53571428571428, 'left': 422.42857142857144, 'height': 79.96428571428572, 'width': 34.78571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3966,front,,Normal Gait,normal,"{'top': 246.21428571428572, 'left': 422.57142857142856, 'height': 79.78571428571428, 'width': 34.71428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3967,front,,Normal Gait,normal,"{'top': 246.89285714285714, 'left': 422.7142857142857, 'height': 79.60714285714286, 'width': 34.64285714285711}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3968,front,,Normal Gait,normal,"{'top': 247.57142857142858, 'left': 422.85714285714283, 'height': 79.42857142857142, 'width': 34.57142857142861}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3969,front,,Normal Gait,normal,"{'top': 248.25, 'left': 423.0, 'height': 79.25, 'width': 34.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3970,front,,Normal Gait,normal,"{'top': 248.92857142857142, 'left': 423.14285714285717, 'height': 79.07142857142858, 'width': 34.42857142857139}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3971,front,,Normal Gait,normal,"{'top': 249.60714285714286, 'left': 423.2857142857143, 'height': 78.89285714285714, 'width': 34.35714285714289}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3972,front,,Normal Gait,normal,"{'top': 250.28571428571428, 'left': 423.42857142857144, 'height': 78.71428571428572, 'width': 34.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3973,front,,Normal Gait,normal,"{'top': 250.96428571428572, 'left': 423.57142857142856, 'height': 78.53571428571428, 'width': 34.21428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3974,front,,Normal Gait,normal,"{'top': 251.64285714285714, 'left': 423.7142857142857, 'height': 78.35714285714286, 'width': 34.14285714285711}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3975,front,,Normal Gait,normal,"{'top': 252.32142857142858, 'left': 423.85714285714283, 'height': 78.17857142857142, 'width': 34.07142857142861}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3976,front,,Normal Gait,normal,"{'top': 253.0, 'left': 424.0, 'height': 78.0, 'width': 34.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3977,front,,Normal Gait,normal,"{'top': 253.42105263157896, 'left': 424.10526315789474, 'height': 77.84210526315786, 'width': 33.9473684210526}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3978,front,,Normal Gait,normal,"{'top': 253.8421052631579, 'left': 424.2105263157895, 'height': 77.68421052631581, 'width': 33.89473684210526}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3979,front,,Normal Gait,normal,"{'top': 254.26315789473685, 'left': 424.3157894736842, 'height': 77.52631578947367, 'width': 33.84210526315786}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3980,front,,Normal Gait,normal,"{'top': 254.68421052631578, 'left': 424.42105263157896, 'height': 77.36842105263156, 'width': 33.78947368421052}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3981,front,,Normal Gait,normal,"{'top': 255.10526315789474, 'left': 424.5263157894737, 'height': 77.21052631578948, 'width': 33.73684210526312}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3982,front,,Normal Gait,normal,"{'top': 255.52631578947367, 'left': 424.63157894736844, 'height': 77.05263157894737, 'width': 33.68421052631578}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3983,front,,Normal Gait,normal,"{'top': 255.94736842105263, 'left': 424.7368421052632, 'height': 76.89473684210529, 'width': 33.63157894736838}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3984,front,,Normal Gait,normal,"{'top': 256.36842105263156, 'left': 424.8421052631579, 'height': 76.73684210526318, 'width': 33.57894736842104}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3985,front,,Normal Gait,normal,"{'top': 256.7894736842105, 'left': 424.94736842105266, 'height': 76.57894736842104, 'width': 33.52631578947364}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3986,front,,Normal Gait,normal,"{'top': 257.2105263157895, 'left': 425.05263157894734, 'height': 76.42105263157896, 'width': 33.47368421052636}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxjiy2z009a3n6lt8814xvn,3987,front,,Normal Gait,normal,"{'top': 257.63157894736844, 'left': 425.1578947368421, 'height': 76.26315789473682, 'width': 33.42105263157896}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
