seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxkbce1001f3n6lfsg0zbg4,1864,right side,,Normal Gait,normal,"{'top': 66.0, 'left': 284.0, 'height': 186.0, 'width': 76.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1865,right side,,Normal Gait,normal,"{'top': 66.19354838709677, 'left': 284.93548387096774, 'height': 185.19354838709677, 'width': 76.61290322580646}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1866,right side,,Normal Gait,normal,"{'top': 66.38709677419355, 'left': 285.8709677419355, 'height': 184.38709677419354, 'width': 77.22580645161293}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1867,right side,,Normal Gait,normal,"{'top': 66.58064516129032, 'left': 286.80645161290323, 'height': 183.5806451612903, 'width': 77.83870967741933}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1868,right side,,Normal Gait,normal,"{'top': 66.7741935483871, 'left': 287.741935483871, 'height': 182.7741935483871, 'width': 78.4516129032258}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1869,right side,,Normal Gait,normal,"{'top': 66.96774193548387, 'left': 288.6774193548387, 'height': 181.96774193548387, 'width': 79.06451612903226}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1870,right side,,Normal Gait,normal,"{'top': 67.16129032258064, 'left': 289.61290322580646, 'height': 181.16129032258064, 'width': 79.67741935483872}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1871,right side,,Normal Gait,normal,"{'top': 67.35483870967742, 'left': 290.5483870967742, 'height': 180.35483870967744, 'width': 80.29032258064512}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1872,right side,,Normal Gait,normal,"{'top': 67.54838709677419, 'left': 291.48387096774195, 'height': 179.5483870967742, 'width': 80.90322580645159}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxkbce1001f3n6lfsg0zbg4,1873,right side,,Normal Gait,normal,"{'top': 67.74193548387098, 'left': 292.4193548387097, 'height': 178.74193548387095, 'width': 81.51612903225805}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
