seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxko91g00283n6llxc0x25r,5969,back,,Normal Gait,normal,"{'top': 14.0, 'left': 6.0, 'height': 346.0, 'width': 149.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5970,back,,Normal Gait,normal,"{'top': 14.2, 'left': 7.2, 'height': 345.8, 'width': 157.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5971,back,,Normal Gait,normal,"{'top': 14.4, 'left': 8.4, 'height': 345.6, 'width': 165.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5972,back,,Normal Gait,normal,"{'top': 14.6, 'left': 9.6, 'height': 345.4, 'width': 173.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5973,back,,Normal Gait,normal,"{'top': 14.8, 'left': 10.8, 'height': 345.2, 'width': 181.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5974,back,,Normal Gait,normal,"{'top': 15.0, 'left': 12.0, 'height': 345.0, 'width': 189.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5975,back,,Normal Gait,normal,"{'top': 15.142857142857142, 'left': 15.25, 'height': 343.6428571428571, 'width': 188.25}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5976,back,,Normal Gait,normal,"{'top': 15.285714285714286, 'left': 18.5, 'height': 342.2857142857143, 'width': 187.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5977,back,,Normal Gait,normal,"{'top': 15.428571428571429, 'left': 21.75, 'height': 340.9285714285714, 'width': 186.75}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5978,back,,Normal Gait,normal,"{'top': 15.571428571428571, 'left': 25.0, 'height': 339.5714285714286, 'width': 186.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5979,back,,Normal Gait,normal,"{'top': 15.714285714285714, 'left': 28.25, 'height': 338.2142857142857, 'width': 185.25}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5980,back,,Normal Gait,normal,"{'top': 15.857142857142858, 'left': 31.5, 'height': 336.8571428571429, 'width': 184.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5981,back,,Normal Gait,normal,"{'top': 16.0, 'left': 34.75, 'height': 335.5, 'width': 183.75}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
cljxko91g00283n6llxc0x25r,5982,back,,Normal Gait,normal,"{'top': 16.142857142857142, 'left': 38.0, 'height': 334.1428571428571, 'width': 183.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34
