seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxlunqd00353n6lhitle9h1,1485,front,,Normal Gait,normal,"{'top': 63.0, 'left': 253.0, 'height': 109.0, 'width': 48.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1486,front,,Normal Gait,normal,"{'top': 62.78, 'left': 252.98, 'height': 110.47333333333333, 'width': 48.72}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1487,front,,Normal Gait,normal,"{'top': 62.56, 'left': 252.96, 'height': 111.94666666666666, 'width': 49.43999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1488,front,,Normal Gait,normal,"{'top': 62.34, 'left': 252.94, 'height': 113.41999999999999, 'width': 50.160000000000025}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1489,front,,Normal Gait,normal,"{'top': 62.12, 'left': 252.92, 'height': 114.89333333333332, 'width': 50.880000000000024}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1490,front,,Normal Gait,normal,"{'top': 61.9, 'left': 252.9, 'height': 116.36666666666667, 'width': 51.599999999999994}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1491,front,,Normal Gait,normal,"{'top': 61.68, 'left': 252.88, 'height': 117.84, 'width': 52.31999999999999}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1492,front,,Normal Gait,normal,"{'top': 61.46, 'left': 252.86, 'height': 119.31333333333333, 'width': 53.039999999999964}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1493,front,,Normal Gait,normal,"{'top': 61.24, 'left': 252.84, 'height': 120.78666666666666, 'width': 53.76000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1494,front,,Normal Gait,normal,"{'top': 61.02, 'left': 252.82, 'height': 122.25999999999999, 'width': 54.48000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1495,front,,Normal Gait,normal,"{'top': 60.8, 'left': 252.8, 'height': 123.73333333333333, 'width': 55.19999999999999}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1496,front,,Normal Gait,normal,"{'top': 60.58, 'left': 252.78, 'height': 125.20666666666666, 'width': 55.91999999999999}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1497,front,,Normal Gait,normal,"{'top': 60.36, 'left': 252.76, 'height': 126.67999999999999, 'width': 56.639999999999986}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1498,front,,Normal Gait,normal,"{'top': 60.14, 'left': 252.74, 'height': 128.1533333333333, 'width': 57.360000000000014}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1499,front,,Normal Gait,normal,"{'top': 59.92, 'left': 252.72, 'height': 129.62666666666667, 'width': 58.08000000000001}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1500,front,,Normal Gait,normal,"{'top': 59.7, 'left': 252.7, 'height': 131.10000000000002, 'width': 58.80000000000001}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1501,front,,Normal Gait,normal,"{'top': 59.48, 'left': 252.68, 'height': 132.57333333333335, 'width': 59.51999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1502,front,,Normal Gait,normal,"{'top': 59.26, 'left': 252.66, 'height': 134.04666666666668, 'width': 60.23999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1503,front,,Normal Gait,normal,"{'top': 59.04, 'left': 252.64, 'height': 135.52, 'width': 60.960000000000036}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1504,front,,Normal Gait,normal,"{'top': 58.82, 'left': 252.62, 'height': 136.99333333333334, 'width': 61.68000000000001}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1505,front,,Normal Gait,normal,"{'top': 58.6, 'left': 252.6, 'height': 138.46666666666667, 'width': 62.400000000000006}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1506,front,,Normal Gait,normal,"{'top': 58.38, 'left': 252.58, 'height': 139.94, 'width': 63.119999999999976}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1507,front,,Normal Gait,normal,"{'top': 58.16, 'left': 252.56, 'height': 141.41333333333333, 'width': 63.839999999999975}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1508,front,,Normal Gait,normal,"{'top': 57.94, 'left': 252.54, 'height': 142.88666666666666, 'width': 64.56000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1509,front,,Normal Gait,normal,"{'top': 57.72, 'left': 252.52, 'height': 144.36, 'width': 65.28}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
cljxlunqd00353n6lhitle9h1,1510,front,,Normal Gait,normal,"{'top': 57.5, 'left': 252.5, 'height': 145.83333333333334, 'width': 66.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",-0wbleNgAwg,https://www.youtube.com/watch?v=-0wbleNgAwg
