seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxlw9dn003i3n6l27b3p6y1,189,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 71.0, 'height': 259.0, 'width': 92.0}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,190,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 73.0, 'height': 259.14285714285717, 'width': 98.14285714285714}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,191,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 75.0, 'height': 259.2857142857143, 'width': 104.28571428571428}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,192,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 77.0, 'height': 259.42857142857144, 'width': 110.42857142857142}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,193,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 79.0, 'height': 259.57142857142856, 'width': 116.57142857142856}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,194,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 81.0, 'height': 259.7142857142857, 'width': 122.71428571428572}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,195,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 83.0, 'height': 259.85714285714283, 'width': 128.85714285714286}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,196,right side,,Normal Gait,normal,"{'top': 3.0, 'left': 85.0, 'height': 260.0, 'width': 135.0}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,197,right side,,Normal Gait,normal,"{'top': 3.076923076923077, 'left': 87.3076923076923, 'height': 260.0, 'width': 135.9230769230769}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,198,right side,,Normal Gait,normal,"{'top': 3.153846153846153, 'left': 89.61538461538461, 'height': 260.0, 'width': 136.84615384615384}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,199,right side,,Normal Gait,normal,"{'top': 3.230769230769231, 'left': 91.92307692307692, 'height': 260.0, 'width': 137.76923076923077}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,200,right side,,Normal Gait,normal,"{'top': 3.307692307692307, 'left': 94.23076923076923, 'height': 260.0, 'width': 138.6923076923077}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
cljxlw9dn003i3n6l27b3p6y1,201,right side,,Normal Gait,normal,"{'top': 3.384615384615384, 'left': 96.53846153846153, 'height': 260.0, 'width': 139.61538461538464}","{'height': 264, 'width': 360, 'mime_type': 'video/mp4'}",2LbERGI34lA,https://www.youtube.com/watch?v=2LbERGI34lA
