seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxlxk3m003r3n6l0ooimbk2,1,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 400.0, 'height': 165.0, 'width': 72.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,2,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 406.0, 'height': 165.0, 'width': 72.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,3,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 412.0, 'height': 165.0, 'width': 72.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,4,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 396.25, 'height': 171.25, 'width': 81.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,5,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 380.5, 'height': 177.5, 'width': 90.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,6,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 364.75, 'height': 183.75, 'width': 99.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,7,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 349.0, 'height': 190.0, 'width': 109.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,8,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 343.5, 'height': 189.5, 'width': 116.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,9,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 338.0, 'height': 189.0, 'width': 124.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,10,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 332.9230769230769, 'height': 188.38461538461536, 'width': 122.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,11,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 327.84615384615387, 'height': 187.76923076923077, 'width': 121.53846153846149}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,12,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 322.7692307692308, 'height': 187.15384615384613, 'width': 120.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
cljxlxk3m003r3n6l0ooimbk2,13,left side,,Normal Gait,normal,"{'top': 188.0, 'left': 317.6923076923077, 'height': 186.53846153846155, 'width': 119.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3FXUw98rrUY,https://www.youtube.com/watch?v=3FXUw98rrUY
