seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk7fg9z9000p3n6lwqf8ijr7,4125,back,,Normal Gait,normal,"{'top': 242.0, 'left': 583.0, 'height': 238.0, 'width': 131.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4126,back,,Normal Gait,normal,"{'top': 242.07142857142858, 'left': 584.6607142857143, 'height': 237.89285714285714, 'width': 131.08928571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4127,back,,Normal Gait,normal,"{'top': 242.14285714285714, 'left': 586.3214285714286, 'height': 237.7857142857143, 'width': 131.17857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4128,back,,Normal Gait,normal,"{'top': 242.21428571428572, 'left': 587.9821428571429, 'height': 237.67857142857144, 'width': 131.2678571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4129,back,,Normal Gait,normal,"{'top': 242.28571428571428, 'left': 589.6428571428571, 'height': 237.57142857142856, 'width': 131.3571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4130,back,,Normal Gait,normal,"{'top': 242.35714285714286, 'left': 591.3035714285714, 'height': 237.4642857142857, 'width': 131.44642857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4131,back,,Normal Gait,normal,"{'top': 242.42857142857142, 'left': 592.9642857142857, 'height': 237.35714285714286, 'width': 131.53571428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4132,back,,Normal Gait,normal,"{'top': 242.5, 'left': 594.625, 'height': 237.25, 'width': 131.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4133,back,,Normal Gait,normal,"{'top': 242.57142857142858, 'left': 596.2857142857143, 'height': 237.14285714285714, 'width': 131.71428571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4134,back,,Normal Gait,normal,"{'top': 242.64285714285714, 'left': 597.9464285714286, 'height': 237.0357142857143, 'width': 131.80357142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4135,back,,Normal Gait,normal,"{'top': 242.71428571428572, 'left': 599.6071428571429, 'height': 236.92857142857144, 'width': 131.8928571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4136,back,,Normal Gait,normal,"{'top': 242.78571428571428, 'left': 601.2678571428571, 'height': 236.82142857142856, 'width': 131.9821428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4137,back,,Normal Gait,normal,"{'top': 242.85714285714286, 'left': 602.9285714285714, 'height': 236.7142857142857, 'width': 132.07142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4138,back,,Normal Gait,normal,"{'top': 242.92857142857142, 'left': 604.5892857142857, 'height': 236.60714285714286, 'width': 132.16071428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4139,back,,Normal Gait,normal,"{'top': 243.0, 'left': 606.25, 'height': 236.5, 'width': 132.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4140,back,,Normal Gait,normal,"{'top': 243.07142857142858, 'left': 607.9107142857143, 'height': 236.39285714285714, 'width': 132.33928571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4141,back,,Normal Gait,normal,"{'top': 243.14285714285714, 'left': 609.5714285714286, 'height': 236.2857142857143, 'width': 132.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4142,back,,Normal Gait,normal,"{'top': 243.21428571428572, 'left': 611.2321428571429, 'height': 236.17857142857144, 'width': 132.5178571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4143,back,,Normal Gait,normal,"{'top': 243.28571428571428, 'left': 612.8928571428571, 'height': 236.07142857142856, 'width': 132.6071428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4144,back,,Normal Gait,normal,"{'top': 243.35714285714286, 'left': 614.5535714285714, 'height': 235.9642857142857, 'width': 132.69642857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4145,back,,Normal Gait,normal,"{'top': 243.42857142857142, 'left': 616.2142857142857, 'height': 235.85714285714286, 'width': 132.78571428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4146,back,,Normal Gait,normal,"{'top': 243.5, 'left': 617.875, 'height': 235.75, 'width': 132.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4147,back,,Normal Gait,normal,"{'top': 243.57142857142858, 'left': 619.5357142857143, 'height': 235.64285714285714, 'width': 132.96428571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4148,back,,Normal Gait,normal,"{'top': 243.64285714285714, 'left': 621.1964285714286, 'height': 235.5357142857143, 'width': 133.05357142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4149,back,,Normal Gait,normal,"{'top': 243.71428571428572, 'left': 622.8571428571429, 'height': 235.42857142857144, 'width': 133.1428571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4150,back,,Normal Gait,normal,"{'top': 243.78571428571428, 'left': 624.5178571428571, 'height': 235.32142857142856, 'width': 133.2321428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4151,back,,Normal Gait,normal,"{'top': 243.85714285714286, 'left': 626.1785714285714, 'height': 235.2142857142857, 'width': 133.32142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4152,back,,Normal Gait,normal,"{'top': 243.92857142857142, 'left': 627.8392857142857, 'height': 235.10714285714286, 'width': 133.41071428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4153,back,,Normal Gait,normal,"{'top': 244.0, 'left': 629.5, 'height': 235.0, 'width': 133.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4154,back,,Normal Gait,normal,"{'top': 244.07142857142858, 'left': 631.1607142857143, 'height': 234.89285714285714, 'width': 133.58928571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4155,back,,Normal Gait,normal,"{'top': 244.14285714285714, 'left': 632.8214285714286, 'height': 234.7857142857143, 'width': 133.67857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4156,back,,Normal Gait,normal,"{'top': 244.21428571428572, 'left': 634.4821428571429, 'height': 234.67857142857144, 'width': 133.7678571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4157,back,,Normal Gait,normal,"{'top': 244.28571428571428, 'left': 636.1428571428571, 'height': 234.57142857142856, 'width': 133.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4158,back,,Normal Gait,normal,"{'top': 244.35714285714286, 'left': 637.8035714285714, 'height': 234.4642857142857, 'width': 133.94642857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4159,back,,Normal Gait,normal,"{'top': 244.42857142857142, 'left': 639.4642857142857, 'height': 234.35714285714286, 'width': 134.03571428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4160,back,,Normal Gait,normal,"{'top': 244.5, 'left': 641.125, 'height': 234.25, 'width': 134.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4161,back,,Normal Gait,normal,"{'top': 244.57142857142858, 'left': 642.7857142857143, 'height': 234.14285714285714, 'width': 134.21428571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4162,back,,Normal Gait,normal,"{'top': 244.64285714285714, 'left': 644.4464285714286, 'height': 234.0357142857143, 'width': 134.30357142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4163,back,,Normal Gait,normal,"{'top': 244.71428571428572, 'left': 646.1071428571429, 'height': 233.92857142857144, 'width': 134.3928571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4164,back,,Normal Gait,normal,"{'top': 244.78571428571428, 'left': 647.7678571428571, 'height': 233.82142857142856, 'width': 134.4821428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4165,back,,Normal Gait,normal,"{'top': 244.85714285714286, 'left': 649.4285714285714, 'height': 233.7142857142857, 'width': 134.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4166,back,,Normal Gait,normal,"{'top': 244.92857142857142, 'left': 651.0892857142857, 'height': 233.60714285714286, 'width': 134.66071428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4167,back,,Normal Gait,normal,"{'top': 245.0, 'left': 652.75, 'height': 233.5, 'width': 134.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fg9z9000p3n6lwqf8ijr7,4168,back,,Normal Gait,normal,"{'top': 245.07142857142858, 'left': 654.4107142857143, 'height': 233.39285714285714, 'width': 134.83928571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
