seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk7fgn9n000t3n6ld4fxevnl,4241,front,,Normal Gait,normal,"{'top': 228.0, 'left': 353.0, 'height': 150.0, 'width': 76.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4242,front,,Normal Gait,normal,"{'top': 226.6, 'left': 350.4, 'height': 154.93333333333337, 'width': 77.73333333333335}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4243,front,,Normal Gait,normal,"{'top': 225.2, 'left': 347.8, 'height': 159.86666666666667, 'width': 79.46666666666664}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4244,front,,Normal Gait,normal,"{'top': 223.8, 'left': 345.2, 'height': 164.8, 'width': 81.19999999999999}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4245,front,,Normal Gait,normal,"{'top': 222.4, 'left': 342.6, 'height': 169.73333333333332, 'width': 82.93333333333334}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4246,front,,Normal Gait,normal,"{'top': 221.0, 'left': 340.0, 'height': 174.66666666666669, 'width': 84.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4247,front,,Normal Gait,normal,"{'top': 219.6, 'left': 337.4, 'height': 179.6, 'width': 86.40000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4248,front,,Normal Gait,normal,"{'top': 218.2, 'left': 334.8, 'height': 184.53333333333336, 'width': 88.13333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4249,front,,Normal Gait,normal,"{'top': 216.8, 'left': 332.2, 'height': 189.46666666666664, 'width': 89.86666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
clk7fgn9n000t3n6ld4fxevnl,4250,front,,Normal Gait,normal,"{'top': 215.4, 'left': 329.6, 'height': 194.4, 'width': 91.59999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
