seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk7v207i000r3n6l7cnpz7iv,4545,front,,Normal Gait,normal,"{'top': 103.0, 'left': 486.0, 'height': 89.0, 'width': 38.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4546,front,,Normal Gait,normal,"{'top': 103.1, 'left': 485.3, 'height': 90.1, 'width': 38.30000000000001}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4547,front,,Normal Gait,normal,"{'top': 103.2, 'left': 484.6, 'height': 91.2, 'width': 38.60000000000002}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4548,front,,Normal Gait,normal,"{'top': 103.3, 'left': 483.9, 'height': 92.3, 'width': 38.89999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4549,front,,Normal Gait,normal,"{'top': 103.4, 'left': 483.2, 'height': 93.4, 'width': 39.19999999999999}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4550,front,,Normal Gait,normal,"{'top': 103.5, 'left': 482.5, 'height': 94.5, 'width': 39.5}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4551,front,,Normal Gait,normal,"{'top': 103.6, 'left': 481.8, 'height': 95.6, 'width': 39.80000000000001}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4552,front,,Normal Gait,normal,"{'top': 103.7, 'left': 481.1, 'height': 96.7, 'width': 40.10000000000002}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4553,front,,Normal Gait,normal,"{'top': 103.8, 'left': 480.4, 'height': 97.8, 'width': 40.39999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7v207i000r3n6l7cnpz7iv,4554,front,,Normal Gait,normal,"{'top': 103.9, 'left': 479.7, 'height': 98.9, 'width': 40.69999999999999}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
