seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk7vbv2o001r3n6lwm62yivw,9597,back,,Normal Gait,normal,"{'top': 58.0, 'left': 0.0, 'height': 326.0, 'width': 84.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9598,back,,Normal Gait,normal,"{'top': 58.45454545454545, 'left': 0.0, 'height': 324.72727272727275, 'width': 92.0909090909091}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9599,back,,Normal Gait,normal,"{'top': 58.90909090909091, 'left': 0.0, 'height': 323.4545454545455, 'width': 100.18181818181819}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9600,back,,Normal Gait,normal,"{'top': 59.36363636363637, 'left': 0.0, 'height': 322.1818181818182, 'width': 108.27272727272727}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9601,back,,Normal Gait,normal,"{'top': 59.81818181818182, 'left': 0.0, 'height': 320.90909090909093, 'width': 116.36363636363637}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9602,back,,Normal Gait,normal,"{'top': 60.27272727272727, 'left': 0.0, 'height': 319.6363636363637, 'width': 124.45454545454545}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9603,back,,Normal Gait,normal,"{'top': 60.72727272727273, 'left': 0.0, 'height': 318.3636363636363, 'width': 132.54545454545453}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9604,back,,Normal Gait,normal,"{'top': 61.18181818181818, 'left': 0.0, 'height': 317.09090909090907, 'width': 140.63636363636363}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9605,back,,Normal Gait,normal,"{'top': 61.63636363636364, 'left': 0.0, 'height': 315.8181818181818, 'width': 148.72727272727275}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9606,back,,Normal Gait,normal,"{'top': 62.09090909090909, 'left': 0.0, 'height': 314.5454545454545, 'width': 156.8181818181818}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9607,back,,Normal Gait,normal,"{'top': 62.54545454545455, 'left': 0.0, 'height': 313.27272727272725, 'width': 164.9090909090909}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9608,back,,Normal Gait,normal,"{'top': 63.0, 'left': 0.0, 'height': 312.0, 'width': 173.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9609,back,,Normal Gait,normal,"{'top': 63.266666666666666, 'left': 6.266666666666667, 'height': 310.6666666666667, 'width': 172.2}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9610,back,,Normal Gait,normal,"{'top': 63.53333333333333, 'left': 12.533333333333333, 'height': 309.33333333333337, 'width': 171.4}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9611,back,,Normal Gait,normal,"{'top': 63.8, 'left': 18.8, 'height': 308.0, 'width': 170.6}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vbv2o001r3n6lwm62yivw,9612,back,,Normal Gait,normal,"{'top': 64.06666666666666, 'left': 25.066666666666666, 'height': 306.6666666666667, 'width': 169.8}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
