seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk7vcgpg001v3n6le7jiaagx,9899,front,,Normal Gait,normal,"{'top': 154.0, 'left': 488.0, 'height': 87.0, 'width': 39.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9900,front,,Normal Gait,normal,"{'top': 153.6578947368421, 'left': 487.4736842105263, 'height': 87.76315789473685, 'width': 39.23684210526318}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9901,front,,Normal Gait,normal,"{'top': 153.31578947368422, 'left': 486.94736842105266, 'height': 88.52631578947367, 'width': 39.4736842105263}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9902,front,,Normal Gait,normal,"{'top': 152.97368421052633, 'left': 486.42105263157896, 'height': 89.28947368421052, 'width': 39.71052631578948}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9903,front,,Normal Gait,normal,"{'top': 152.6315789473684, 'left': 485.89473684210526, 'height': 90.05263157894737, 'width': 39.94736842105266}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9904,front,,Normal Gait,normal,"{'top': 152.28947368421052, 'left': 485.36842105263156, 'height': 90.81578947368422, 'width': 40.18421052631584}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9905,front,,Normal Gait,normal,"{'top': 151.94736842105263, 'left': 484.8421052631579, 'height': 91.57894736842104, 'width': 40.42105263157896}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9906,front,,Normal Gait,normal,"{'top': 151.60526315789474, 'left': 484.3157894736842, 'height': 92.34210526315789, 'width': 40.65789473684214}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9907,front,,Normal Gait,normal,"{'top': 151.26315789473685, 'left': 483.7894736842105, 'height': 93.10526315789474, 'width': 40.89473684210532}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9908,front,,Normal Gait,normal,"{'top': 150.92105263157896, 'left': 483.2631578947368, 'height': 93.86842105263156, 'width': 41.131578947368496}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9909,front,,Normal Gait,normal,"{'top': 150.57894736842104, 'left': 482.7368421052632, 'height': 94.63157894736844, 'width': 41.368421052631504}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9910,front,,Normal Gait,normal,"{'top': 150.23684210526315, 'left': 482.2105263157895, 'height': 95.39473684210526, 'width': 41.60526315789468}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9911,front,,Normal Gait,normal,"{'top': 149.89473684210526, 'left': 481.6842105263158, 'height': 96.15789473684211, 'width': 41.84210526315786}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9912,front,,Normal Gait,normal,"{'top': 149.55263157894737, 'left': 481.1578947368421, 'height': 96.92105263157896, 'width': 42.07894736842104}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9913,front,,Normal Gait,normal,"{'top': 149.21052631578948, 'left': 480.63157894736844, 'height': 97.68421052631578, 'width': 42.31578947368416}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9914,front,,Normal Gait,normal,"{'top': 148.8684210526316, 'left': 480.10526315789474, 'height': 98.44736842105263, 'width': 42.55263157894734}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9915,front,,Normal Gait,normal,"{'top': 148.5263157894737, 'left': 479.57894736842104, 'height': 99.21052631578945, 'width': 42.78947368421052}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9916,front,,Normal Gait,normal,"{'top': 148.18421052631578, 'left': 479.05263157894734, 'height': 99.97368421052633, 'width': 43.0263157894737}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9917,front,,Normal Gait,normal,"{'top': 147.8421052631579, 'left': 478.5263157894737, 'height': 100.73684210526315, 'width': 43.26315789473682}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9918,front,,Normal Gait,normal,"{'top': 147.5, 'left': 478.0, 'height': 101.5, 'width': 43.5}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9919,front,,Normal Gait,normal,"{'top': 147.1578947368421, 'left': 477.4736842105263, 'height': 102.26315789473685, 'width': 43.73684210526318}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9920,front,,Normal Gait,normal,"{'top': 146.81578947368422, 'left': 476.9473684210526, 'height': 103.02631578947367, 'width': 43.97368421052636}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9921,front,,Normal Gait,normal,"{'top': 146.4736842105263, 'left': 476.42105263157896, 'height': 103.78947368421055, 'width': 44.21052631578948}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9922,front,,Normal Gait,normal,"{'top': 146.1315789473684, 'left': 475.89473684210526, 'height': 104.55263157894737, 'width': 44.44736842105266}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9923,front,,Normal Gait,normal,"{'top': 145.78947368421052, 'left': 475.36842105263156, 'height': 105.31578947368422, 'width': 44.68421052631584}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9924,front,,Normal Gait,normal,"{'top': 145.44736842105263, 'left': 474.8421052631579, 'height': 106.07894736842107, 'width': 44.92105263157896}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9925,front,,Normal Gait,normal,"{'top': 145.10526315789474, 'left': 474.3157894736842, 'height': 106.84210526315789, 'width': 45.15789473684214}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9926,front,,Normal Gait,normal,"{'top': 144.76315789473685, 'left': 473.7894736842105, 'height': 107.60526315789474, 'width': 45.39473684210532}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9927,front,,Normal Gait,normal,"{'top': 144.42105263157896, 'left': 473.2631578947368, 'height': 108.36842105263156, 'width': 45.631578947368496}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9928,front,,Normal Gait,normal,"{'top': 144.07894736842104, 'left': 472.7368421052632, 'height': 109.13157894736844, 'width': 45.868421052631504}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9929,front,,Normal Gait,normal,"{'top': 143.73684210526315, 'left': 472.2105263157895, 'height': 109.89473684210526, 'width': 46.10526315789468}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9930,front,,Normal Gait,normal,"{'top': 143.39473684210526, 'left': 471.6842105263158, 'height': 110.65789473684211, 'width': 46.34210526315786}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9931,front,,Normal Gait,normal,"{'top': 143.05263157894737, 'left': 471.1578947368421, 'height': 111.42105263157893, 'width': 46.57894736842104}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9932,front,,Normal Gait,normal,"{'top': 142.71052631578948, 'left': 470.63157894736844, 'height': 112.18421052631578, 'width': 46.81578947368416}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vcgpg001v3n6le7jiaagx,9933,front,,Normal Gait,normal,"{'top': 142.3684210526316, 'left': 470.10526315789474, 'height': 112.94736842105263, 'width': 47.05263157894734}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
