seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk7vg4wh002b3n6lnrl2k4nf,11350,front,,Normal Gait,normal,"{'top': 143.0, 'left': 531.0, 'height': 89.0, 'width': 39.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11351,front,,Normal Gait,normal,"{'top': 142.80645161290323, 'left': 530.6451612903226, 'height': 89.51612903225805, 'width': 39.32258064516134}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11352,front,,Normal Gait,normal,"{'top': 142.61290322580646, 'left': 530.2903225806451, 'height': 90.03225806451613, 'width': 39.64516129032256}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11353,front,,Normal Gait,normal,"{'top': 142.41935483870967, 'left': 529.9354838709677, 'height': 90.5483870967742, 'width': 39.9677419354839}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11354,front,,Normal Gait,normal,"{'top': 142.2258064516129, 'left': 529.5806451612904, 'height': 91.06451612903226, 'width': 40.290322580645125}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11355,front,,Normal Gait,normal,"{'top': 142.03225806451613, 'left': 529.2258064516129, 'height': 91.58064516129033, 'width': 40.61290322580646}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11356,front,,Normal Gait,normal,"{'top': 141.83870967741936, 'left': 528.8709677419355, 'height': 92.09677419354838, 'width': 40.93548387096769}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11357,front,,Normal Gait,normal,"{'top': 141.6451612903226, 'left': 528.516129032258, 'height': 92.61290322580643, 'width': 41.258064516129025}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11358,front,,Normal Gait,normal,"{'top': 141.4516129032258, 'left': 528.1612903225806, 'height': 93.12903225806454, 'width': 41.58064516129036}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11359,front,,Normal Gait,normal,"{'top': 141.25806451612902, 'left': 527.8064516129032, 'height': 93.64516129032259, 'width': 41.9032258064517}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11360,front,,Normal Gait,normal,"{'top': 141.06451612903226, 'left': 527.4516129032259, 'height': 94.16129032258064, 'width': 42.22580645161281}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11361,front,,Normal Gait,normal,"{'top': 140.8709677419355, 'left': 527.0967741935484, 'height': 94.67741935483872, 'width': 42.54838709677415}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
clk7vg4wh002b3n6lnrl2k4nf,11362,front,,Normal Gait,normal,"{'top': 140.67741935483872, 'left': 526.741935483871, 'height': 95.19354838709677, 'width': 42.87096774193549}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
