seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll16k7c9003u3o6l1z4qfzpf,4626,right side,,Normal Gait,normal,"{'top': 102.0, 'left': 406.0, 'height': 257.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4627,right side,,Normal Gait,normal,"{'top': 102.41935483870968, 'left': 408.2903225806452, 'height': 256.64516129032256, 'width': 104.80645161290323}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4628,right side,,Normal Gait,normal,"{'top': 102.83870967741936, 'left': 410.5806451612903, 'height': 256.2903225806451, 'width': 105.61290322580652}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4629,right side,,Normal Gait,normal,"{'top': 103.25806451612904, 'left': 412.8709677419355, 'height': 255.93548387096774, 'width': 106.41935483870964}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4630,right side,,Normal Gait,normal,"{'top': 103.6774193548387, 'left': 415.16129032258067, 'height': 255.5806451612903, 'width': 107.22580645161287}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4631,right side,,Normal Gait,normal,"{'top': 104.09677419354838, 'left': 417.4516129032258, 'height': 255.2258064516129, 'width': 108.03225806451616}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4632,right side,,Normal Gait,normal,"{'top': 104.51612903225806, 'left': 419.741935483871, 'height': 254.8709677419355, 'width': 108.83870967741939}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4633,right side,,Normal Gait,normal,"{'top': 104.93548387096774, 'left': 422.0322580645161, 'height': 254.51612903225805, 'width': 109.64516129032256}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4634,right side,,Normal Gait,normal,"{'top': 105.35483870967742, 'left': 424.3225806451613, 'height': 254.1612903225806, 'width': 110.4516129032258}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4635,right side,,Normal Gait,normal,"{'top': 105.7741935483871, 'left': 426.61290322580646, 'height': 253.8064516129032, 'width': 111.25806451612902}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4636,right side,,Normal Gait,normal,"{'top': 106.19354838709677, 'left': 428.9032258064516, 'height': 253.4516129032258, 'width': 112.06451612903231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4637,right side,,Normal Gait,normal,"{'top': 106.61290322580645, 'left': 431.19354838709677, 'height': 253.09677419354836, 'width': 112.87096774193543}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4638,right side,,Normal Gait,normal,"{'top': 107.03225806451613, 'left': 433.48387096774195, 'height': 252.74193548387095, 'width': 113.67741935483866}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4639,right side,,Normal Gait,normal,"{'top': 107.45161290322581, 'left': 435.7741935483871, 'height': 252.38709677419354, 'width': 114.48387096774195}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4640,right side,,Normal Gait,normal,"{'top': 107.87096774193549, 'left': 438.06451612903226, 'height': 252.0322580645161, 'width': 115.29032258064518}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cll16k7c9003u3o6l1z4qfzpf,4641,right side,,Normal Gait,normal,"{'top': 108.29032258064517, 'left': 440.35483870967744, 'height': 251.67741935483866, 'width': 116.09677419354841}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
