seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll9vjtaw00133o6lyz1ucmc4,267,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 349.0, 'height': 314.0, 'width': 132.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,268,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 340.8, 'height': 316.0, 'width': 152.2}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,269,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 332.6, 'height': 318.0, 'width': 172.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,270,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 324.4, 'height': 320.0, 'width': 192.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,271,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 316.2, 'height': 322.0, 'width': 212.8}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,272,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 308.0, 'height': 324.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,273,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.9166666666667, 'height': 324.1666666666667, 'width': 233.54166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,274,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.8333333333333, 'height': 324.3333333333333, 'width': 234.08333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,275,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.75, 'height': 324.5, 'width': 234.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,276,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.6666666666667, 'height': 324.6666666666667, 'width': 235.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,277,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.5833333333333, 'height': 324.8333333333333, 'width': 235.70833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,278,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.5, 'height': 325.0, 'width': 236.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,279,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.4166666666667, 'height': 325.1666666666667, 'width': 236.79166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,280,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.3333333333333, 'height': 325.3333333333333, 'width': 237.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,281,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.25, 'height': 325.5, 'width': 237.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,282,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.1666666666667, 'height': 325.6666666666667, 'width': 238.41666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,283,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.0833333333333, 'height': 325.8333333333333, 'width': 238.95833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,284,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 307.0, 'height': 326.0, 'width': 239.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,285,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.9166666666667, 'height': 326.1666666666667, 'width': 240.04166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,286,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.8333333333333, 'height': 326.3333333333333, 'width': 240.58333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,287,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.75, 'height': 326.5, 'width': 241.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,288,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.6666666666667, 'height': 326.6666666666667, 'width': 241.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,289,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.5833333333333, 'height': 326.8333333333333, 'width': 242.20833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,290,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.5, 'height': 327.0, 'width': 242.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,291,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.4166666666667, 'height': 327.1666666666667, 'width': 243.29166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,292,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.3333333333333, 'height': 327.3333333333333, 'width': 243.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,293,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.25, 'height': 327.5, 'width': 244.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,294,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.1666666666667, 'height': 327.6666666666667, 'width': 244.91666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,295,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.0833333333333, 'height': 327.8333333333333, 'width': 245.45833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,296,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 306.0, 'height': 328.0, 'width': 246.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,297,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.9166666666667, 'height': 328.1666666666667, 'width': 246.54166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,298,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.8333333333333, 'height': 328.3333333333333, 'width': 247.08333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,299,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.75, 'height': 328.5, 'width': 247.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,300,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.6666666666667, 'height': 328.6666666666667, 'width': 248.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,301,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.5833333333333, 'height': 328.8333333333333, 'width': 248.70833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,302,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.5, 'height': 329.0, 'width': 249.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,303,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.4166666666667, 'height': 329.1666666666667, 'width': 249.79166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,304,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.3333333333333, 'height': 329.3333333333333, 'width': 250.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,305,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.25, 'height': 329.5, 'width': 250.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,306,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.1666666666667, 'height': 329.6666666666667, 'width': 251.41666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,307,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.0833333333333, 'height': 329.8333333333333, 'width': 251.95833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,308,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 305.0, 'height': 330.0, 'width': 252.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,309,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.9166666666667, 'height': 330.1666666666667, 'width': 253.04166666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,310,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.8333333333333, 'height': 330.3333333333333, 'width': 253.58333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,311,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.75, 'height': 330.5, 'width': 254.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,312,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.6666666666667, 'height': 330.6666666666667, 'width': 254.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,313,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.5833333333333, 'height': 330.8333333333333, 'width': 255.20833333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,314,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.5, 'height': 331.0, 'width': 255.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,315,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.4166666666667, 'height': 331.1666666666667, 'width': 256.2916666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cll9vjtaw00133o6lyz1ucmc4,316,right side,,Abnormal Gait,normal,"{'top': 72.0, 'left': 304.3333333333333, 'height': 331.3333333333333, 'width': 256.8333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
