seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllbz0tcd001o3o6l9xk6p1rd,12484,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 439.0, 'height': 200.0, 'width': 86.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12485,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 434.6, 'height': 200.0, 'width': 87.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12486,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 430.2, 'height': 200.0, 'width': 89.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12487,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 425.8, 'height': 200.0, 'width': 90.49999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12488,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 421.4, 'height': 200.0, 'width': 92.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12489,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 417.0, 'height': 200.0, 'width': 93.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12490,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 412.6, 'height': 200.0, 'width': 95.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12491,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 408.2, 'height': 200.0, 'width': 96.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12492,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 403.8, 'height': 200.0, 'width': 98.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllbz0tcd001o3o6l9xk6p1rd,12493,left side,,Normal Gait,normal,"{'top': 175.0, 'left': 399.4, 'height': 200.0, 'width': 99.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
