seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllc0wbia003c3o6lkgntlxxj,15870,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 744.0, 'height': 303.0, 'width': 110.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15871,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 737.9444444444445, 'height': 303.0, 'width': 112.77777777777771}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15872,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 731.8888888888889, 'height': 303.0, 'width': 115.55555555555554}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15873,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 725.8333333333334, 'height': 303.0, 'width': 118.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15874,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 719.7777777777778, 'height': 303.0, 'width': 121.11111111111109}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15875,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 713.7222222222222, 'height': 303.0, 'width': 123.88888888888891}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15876,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 707.6666666666666, 'height': 303.0, 'width': 126.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15877,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 701.6111111111111, 'height': 303.0, 'width': 129.44444444444446}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15878,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 695.5555555555555, 'height': 303.0, 'width': 132.22222222222229}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15879,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 689.5, 'height': 303.0, 'width': 135.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15880,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 683.4444444444445, 'height': 303.0, 'width': 137.77777777777771}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15881,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 677.3888888888889, 'height': 303.0, 'width': 140.55555555555554}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15882,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 671.3333333333334, 'height': 303.0, 'width': 143.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15883,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 665.2777777777778, 'height': 303.0, 'width': 146.1111111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cllc0wbia003c3o6lkgntlxxj,15884,left side,,Normal Gait,normal,"{'top': 117.0, 'left': 659.2222222222222, 'height': 303.0, 'width': 148.8888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
