seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllc1x7j3001y3o6l3jo829my,12944,right side,,Normal Gait,normal,"{'top': 63.0, 'left': 7.0, 'height': 348.0, 'width': 108.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12945,right side,,Normal Gait,normal,"{'top': 63.88235294117647, 'left': 9.882352941176471, 'height': 345.6470588235294, 'width': 110.47058823529412}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12946,right side,,Normal Gait,normal,"{'top': 64.76470588235294, 'left': 12.764705882352942, 'height': 343.29411764705884, 'width': 112.94117647058823}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12947,right side,,Normal Gait,normal,"{'top': 65.6470588235294, 'left': 15.647058823529413, 'height': 340.94117647058823, 'width': 115.41176470588235}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12948,right side,,Normal Gait,normal,"{'top': 66.52941176470588, 'left': 18.529411764705884, 'height': 338.5882352941177, 'width': 117.88235294117646}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12949,right side,,Normal Gait,normal,"{'top': 67.41176470588235, 'left': 21.411764705882355, 'height': 336.2352941176471, 'width': 120.35294117647058}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12950,right side,,Normal Gait,normal,"{'top': 68.29411764705883, 'left': 24.294117647058826, 'height': 333.88235294117646, 'width': 122.82352941176471}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12951,right side,,Normal Gait,normal,"{'top': 69.17647058823529, 'left': 27.176470588235293, 'height': 331.52941176470586, 'width': 125.29411764705883}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12952,right side,,Normal Gait,normal,"{'top': 70.05882352941177, 'left': 30.058823529411764, 'height': 329.1764705882353, 'width': 127.76470588235293}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12953,right side,,Normal Gait,normal,"{'top': 70.94117647058823, 'left': 32.94117647058823, 'height': 326.8235294117647, 'width': 130.23529411764707}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12954,right side,,Normal Gait,normal,"{'top': 71.82352941176471, 'left': 35.82352941176471, 'height': 324.47058823529414, 'width': 132.70588235294116}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12955,right side,,Normal Gait,normal,"{'top': 72.70588235294117, 'left': 38.705882352941174, 'height': 322.11764705882354, 'width': 135.1764705882353}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12956,right side,,Normal Gait,normal,"{'top': 73.58823529411765, 'left': 41.58823529411765, 'height': 319.7647058823529, 'width': 137.64705882352942}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc1x7j3001y3o6l3jo829my,12957,right side,,Normal Gait,normal,"{'top': 74.47058823529412, 'left': 44.470588235294116, 'height': 317.4117647058823, 'width': 140.1176470588235}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
