seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllc26p7b002x3o6lmz7e7jh5,14068,left side,,Normal Gait,normal,"{'top': 186.0, 'left': 528.0, 'height': 92.0, 'width': 51.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14069,left side,,Normal Gait,normal,"{'top': 185.8679245283019, 'left': 527.2264150943396, 'height': 92.41509433962261, 'width': 51.169811320754775}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14070,left side,,Normal Gait,normal,"{'top': 185.73584905660377, 'left': 526.4528301886793, 'height': 92.83018867924531, 'width': 51.339622641509436}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14071,left side,,Normal Gait,normal,"{'top': 185.60377358490567, 'left': 525.6792452830189, 'height': 93.24528301886792, 'width': 51.5094339622641}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14072,left side,,Normal Gait,normal,"{'top': 185.47169811320754, 'left': 524.9056603773585, 'height': 93.66037735849056, 'width': 51.67924528301887}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14073,left side,,Normal Gait,normal,"{'top': 185.33962264150944, 'left': 524.1320754716982, 'height': 94.07547169811323, 'width': 51.84905660377353}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14074,left side,,Normal Gait,normal,"{'top': 185.20754716981133, 'left': 523.3584905660377, 'height': 94.49056603773585, 'width': 52.01886792452831}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14075,left side,,Normal Gait,normal,"{'top': 185.0754716981132, 'left': 522.5849056603773, 'height': 94.90566037735849, 'width': 52.18867924528308}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14076,left side,,Normal Gait,normal,"{'top': 184.9433962264151, 'left': 521.811320754717, 'height': 95.3207547169811, 'width': 52.35849056603763}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14077,left side,,Normal Gait,normal,"{'top': 184.81132075471697, 'left': 521.0377358490566, 'height': 95.7358490566038, 'width': 52.528301886792406}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14078,left side,,Normal Gait,normal,"{'top': 184.67924528301887, 'left': 520.2641509433962, 'height': 96.15094339622641, 'width': 52.69811320754718}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14079,left side,,Normal Gait,normal,"{'top': 184.54716981132074, 'left': 519.4905660377359, 'height': 96.56603773584905, 'width': 52.86792452830184}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14080,left side,,Normal Gait,normal,"{'top': 184.41509433962264, 'left': 518.7169811320755, 'height': 96.98113207547172, 'width': 53.03773584905662}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14081,left side,,Normal Gait,normal,"{'top': 184.28301886792454, 'left': 517.9433962264151, 'height': 97.39622641509433, 'width': 53.20754716981139}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14082,left side,,Normal Gait,normal,"{'top': 184.1509433962264, 'left': 517.1698113207547, 'height': 97.81132075471697, 'width': 53.37735849056605}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14083,left side,,Normal Gait,normal,"{'top': 184.0188679245283, 'left': 516.3962264150944, 'height': 98.22641509433964, 'width': 53.547169811320714}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14084,left side,,Normal Gait,normal,"{'top': 183.88679245283018, 'left': 515.622641509434, 'height': 98.64150943396228, 'width': 53.71698113207549}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14085,left side,,Normal Gait,normal,"{'top': 183.75471698113208, 'left': 514.8490566037735, 'height': 99.0566037735849, 'width': 53.886792452830264}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14086,left side,,Normal Gait,normal,"{'top': 183.62264150943398, 'left': 514.0754716981132, 'height': 99.47169811320751, 'width': 54.056603773584925}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14087,left side,,Normal Gait,normal,"{'top': 183.49056603773585, 'left': 513.3018867924528, 'height': 99.8867924528302, 'width': 54.226415094339586}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14088,left side,,Normal Gait,normal,"{'top': 183.35849056603774, 'left': 512.5283018867924, 'height': 100.30188679245282, 'width': 54.39622641509436}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14089,left side,,Normal Gait,normal,"{'top': 183.22641509433961, 'left': 511.75471698113205, 'height': 100.71698113207546, 'width': 54.56603773584908}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14090,left side,,Normal Gait,normal,"{'top': 183.0943396226415, 'left': 510.9811320754717, 'height': 101.13207547169813, 'width': 54.7358490566038}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14091,left side,,Normal Gait,normal,"{'top': 182.96226415094338, 'left': 510.20754716981133, 'height': 101.54716981132077, 'width': 54.905660377358515}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14092,left side,,Normal Gait,normal,"{'top': 182.83018867924528, 'left': 509.4339622641509, 'height': 101.96226415094338, 'width': 55.075471698113176}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14093,left side,,Normal Gait,normal,"{'top': 182.69811320754718, 'left': 508.66037735849056, 'height': 102.37735849056605, 'width': 55.245283018867894}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14094,left side,,Normal Gait,normal,"{'top': 182.56603773584905, 'left': 507.8867924528302, 'height': 102.7924528301887, 'width': 55.41509433962261}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14095,left side,,Normal Gait,normal,"{'top': 182.43396226415095, 'left': 507.1132075471698, 'height': 103.2075471698113, 'width': 55.58490566037739}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
cllc26p7b002x3o6lmz7e7jh5,14096,left side,,Normal Gait,normal,"{'top': 182.30188679245282, 'left': 506.33962264150944, 'height': 103.62264150943395, 'width': 55.754716981132106}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",MN4vnaNwIsA,https://www.youtube.com/watch?v=MN4vnaNwIsA
