seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllen39z8000v3o6l4x2kgvwe,6223,back,,Normal Gait,normal,"{'top': 184.0, 'left': 343.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6224,back,,Normal Gait,normal,"{'top': 183.95833333333334, 'left': 342.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6225,back,,Normal Gait,normal,"{'top': 183.91666666666666, 'left': 341.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6226,back,,Normal Gait,normal,"{'top': 183.875, 'left': 340.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6227,back,,Normal Gait,normal,"{'top': 183.83333333333334, 'left': 339.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6228,back,,Normal Gait,normal,"{'top': 183.79166666666666, 'left': 338.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6229,back,,Normal Gait,normal,"{'top': 183.75, 'left': 337.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6230,back,,Normal Gait,normal,"{'top': 183.70833333333334, 'left': 336.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6231,back,,Normal Gait,normal,"{'top': 183.66666666666666, 'left': 335.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6232,back,,Normal Gait,normal,"{'top': 183.625, 'left': 334.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6233,back,,Normal Gait,normal,"{'top': 183.58333333333334, 'left': 333.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6234,back,,Normal Gait,normal,"{'top': 183.54166666666666, 'left': 332.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6235,back,,Normal Gait,normal,"{'top': 183.5, 'left': 331.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6236,back,,Normal Gait,normal,"{'top': 183.45833333333334, 'left': 330.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6237,back,,Normal Gait,normal,"{'top': 183.41666666666666, 'left': 329.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6238,back,,Normal Gait,normal,"{'top': 183.375, 'left': 328.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6239,back,,Normal Gait,normal,"{'top': 183.33333333333334, 'left': 327.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6240,back,,Normal Gait,normal,"{'top': 183.29166666666666, 'left': 326.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6241,back,,Normal Gait,normal,"{'top': 183.25, 'left': 325.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6242,back,,Normal Gait,normal,"{'top': 183.20833333333334, 'left': 324.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6243,back,,Normal Gait,normal,"{'top': 183.16666666666666, 'left': 323.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6244,back,,Normal Gait,normal,"{'top': 183.125, 'left': 322.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6245,back,,Normal Gait,normal,"{'top': 183.08333333333334, 'left': 321.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6246,back,,Normal Gait,normal,"{'top': 183.04166666666666, 'left': 320.0, 'height': 192.00000000000003, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6247,back,,Normal Gait,normal,"{'top': 183.0, 'left': 319.0, 'height': 192.0, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllen39z8000v3o6l4x2kgvwe,6248,back,,Normal Gait,normal,"{'top': 182.95833333333334, 'left': 318.0, 'height': 191.99999999999997, 'width': 83.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
