seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllenjarj002b3o6ldef7ptm7,10732,back,,Normal Gait,normal,"{'top': 280.0, 'left': 155.0, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10733,back,,Normal Gait,normal,"{'top': 280.0153846153846, 'left': 155.4923076923077, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10734,back,,Normal Gait,normal,"{'top': 280.03076923076924, 'left': 155.98461538461538, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10735,back,,Normal Gait,normal,"{'top': 280.04615384615386, 'left': 156.47692307692307, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10736,back,,Normal Gait,normal,"{'top': 280.0615384615385, 'left': 156.96923076923076, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10737,back,,Normal Gait,normal,"{'top': 280.0769230769231, 'left': 157.46153846153845, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10738,back,,Normal Gait,normal,"{'top': 280.0923076923077, 'left': 157.95384615384614, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10739,back,,Normal Gait,normal,"{'top': 280.10769230769233, 'left': 158.44615384615383, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10740,back,,Normal Gait,normal,"{'top': 280.12307692307695, 'left': 158.93846153846152, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenjarj002b3o6ldef7ptm7,10741,back,,Normal Gait,normal,"{'top': 280.1384615384615, 'left': 159.43076923076924, 'height': 114.0, 'width': 64.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
