seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllenu3ga00333o6luwrwtc56,13314,left side,,Normal Gait,normal,"{'top': 287.0, 'left': 122.0, 'height': 103.0, 'width': 55.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13315,left side,,Normal Gait,normal,"{'top': 286.72727272727275, 'left': 122.18181818181819, 'height': 103.0, 'width': 55.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13316,left side,,Normal Gait,normal,"{'top': 286.45454545454544, 'left': 122.36363636363636, 'height': 103.0, 'width': 55.000000000000014}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13317,left side,,Normal Gait,normal,"{'top': 286.1818181818182, 'left': 122.54545454545455, 'height': 103.0, 'width': 54.999999999999986}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13318,left side,,Normal Gait,normal,"{'top': 285.90909090909093, 'left': 122.72727272727273, 'height': 103.0, 'width': 54.999999999999986}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13319,left side,,Normal Gait,normal,"{'top': 285.6363636363636, 'left': 122.9090909090909, 'height': 103.0, 'width': 55.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13320,left side,,Normal Gait,normal,"{'top': 285.3636363636364, 'left': 123.0909090909091, 'height': 103.0, 'width': 55.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13321,left side,,Normal Gait,normal,"{'top': 285.09090909090907, 'left': 123.27272727272727, 'height': 103.0, 'width': 55.000000000000014}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13322,left side,,Normal Gait,normal,"{'top': 284.8181818181818, 'left': 123.45454545454545, 'height': 103.0, 'width': 55.000000000000014}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13323,left side,,Normal Gait,normal,"{'top': 284.54545454545456, 'left': 123.63636363636364, 'height': 103.0, 'width': 54.999999999999986}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13324,left side,,Normal Gait,normal,"{'top': 284.27272727272725, 'left': 123.81818181818181, 'height': 103.0, 'width': 55.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13325,left side,,Normal Gait,normal,"{'top': 284.0, 'left': 124.0, 'height': 103.0, 'width': 55.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13326,left side,,Normal Gait,normal,"{'top': 284.375, 'left': 124.875, 'height': 103.0, 'width': 56.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenu3ga00333o6luwrwtc56,13327,left side,,Normal Gait,normal,"{'top': 284.75, 'left': 125.75, 'height': 103.0, 'width': 58.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
