seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllenw3r8003g3o6ludxcf6jg,13505,back,,Normal Gait,normal,"{'top': 285.0, 'left': 546.0, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13506,back,,Normal Gait,normal,"{'top': 284.8285714285714, 'left': 548.1142857142858, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13507,back,,Normal Gait,normal,"{'top': 284.65714285714284, 'left': 550.2285714285714, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13508,back,,Normal Gait,normal,"{'top': 284.48571428571427, 'left': 552.3428571428572, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13509,back,,Normal Gait,normal,"{'top': 284.3142857142857, 'left': 554.4571428571429, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13510,back,,Normal Gait,normal,"{'top': 284.14285714285717, 'left': 556.5714285714286, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13511,back,,Normal Gait,normal,"{'top': 283.9714285714286, 'left': 558.6857142857143, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13512,back,,Normal Gait,normal,"{'top': 283.8, 'left': 560.8, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13513,back,,Normal Gait,normal,"{'top': 283.62857142857143, 'left': 562.9142857142857, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13514,back,,Normal Gait,normal,"{'top': 283.45714285714286, 'left': 565.0285714285715, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13515,back,,Normal Gait,normal,"{'top': 283.2857142857143, 'left': 567.1428571428571, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13516,back,,Normal Gait,normal,"{'top': 283.1142857142857, 'left': 569.2571428571429, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13517,back,,Normal Gait,normal,"{'top': 282.9428571428571, 'left': 571.3714285714286, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13518,back,,Normal Gait,normal,"{'top': 282.77142857142854, 'left': 573.4857142857143, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13519,back,,Normal Gait,normal,"{'top': 282.6, 'left': 575.6, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13520,back,,Normal Gait,normal,"{'top': 282.42857142857144, 'left': 577.7142857142857, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13521,back,,Normal Gait,normal,"{'top': 282.25714285714287, 'left': 579.8285714285714, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13522,back,,Normal Gait,normal,"{'top': 282.0857142857143, 'left': 581.9428571428572, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenw3r8003g3o6ludxcf6jg,13523,back,,Normal Gait,normal,"{'top': 281.9142857142857, 'left': 584.0571428571428, 'height': 115.0, 'width': 69.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
