seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllenx426003m3o6ld6v9zx31,13747,front,,Normal Gait,normal,"{'top': 268.0, 'left': 58.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13748,front,,Normal Gait,normal,"{'top': 267.25, 'left': 74.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13749,front,,Normal Gait,normal,"{'top': 266.5, 'left': 90.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13750,front,,Normal Gait,normal,"{'top': 265.75, 'left': 106.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13751,front,,Normal Gait,normal,"{'top': 265.0, 'left': 122.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13752,front,,Normal Gait,normal,"{'top': 265.3333333333333, 'left': 133.66666666666666, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13753,front,,Normal Gait,normal,"{'top': 265.6666666666667, 'left': 145.33333333333334, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13754,front,,Normal Gait,normal,"{'top': 266.0, 'left': 157.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13755,front,,Normal Gait,normal,"{'top': 265.6666666666667, 'left': 168.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13756,front,,Normal Gait,normal,"{'top': 265.3333333333333, 'left': 179.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13757,front,,Normal Gait,normal,"{'top': 265.0, 'left': 190.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13758,front,,Normal Gait,normal,"{'top': 264.6666666666667, 'left': 201.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13759,front,,Normal Gait,normal,"{'top': 264.3333333333333, 'left': 212.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13760,front,,Normal Gait,normal,"{'top': 264.0, 'left': 223.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13761,front,,Normal Gait,normal,"{'top': 263.2, 'left': 230.6, 'height': 72.0, 'width': 46.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13762,front,,Normal Gait,normal,"{'top': 262.4, 'left': 238.2, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13763,front,,Normal Gait,normal,"{'top': 261.6, 'left': 245.8, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13764,front,,Normal Gait,normal,"{'top': 260.8, 'left': 253.4, 'height': 72.0, 'width': 45.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13765,front,,Normal Gait,normal,"{'top': 260.0, 'left': 261.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13766,front,,Normal Gait,normal,"{'top': 259.8, 'left': 266.6, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13767,front,,Normal Gait,normal,"{'top': 259.6, 'left': 272.2, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13768,front,,Normal Gait,normal,"{'top': 259.4, 'left': 277.8, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13769,front,,Normal Gait,normal,"{'top': 259.2, 'left': 283.4, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13770,front,,Normal Gait,normal,"{'top': 259.0, 'left': 289.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13771,front,,Normal Gait,normal,"{'top': 258.52941176470586, 'left': 292.05882352941177, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13772,front,,Normal Gait,normal,"{'top': 258.05882352941177, 'left': 295.11764705882354, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13773,front,,Normal Gait,normal,"{'top': 257.5882352941176, 'left': 298.1764705882353, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13774,front,,Normal Gait,normal,"{'top': 257.11764705882354, 'left': 301.2352941176471, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13775,front,,Normal Gait,normal,"{'top': 256.6470588235294, 'left': 304.29411764705884, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13776,front,,Normal Gait,normal,"{'top': 256.1764705882353, 'left': 307.3529411764706, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13777,front,,Normal Gait,normal,"{'top': 255.7058823529412, 'left': 310.4117647058824, 'height': 71.99999999999997, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13778,front,,Normal Gait,normal,"{'top': 255.23529411764707, 'left': 313.47058823529414, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13779,front,,Normal Gait,normal,"{'top': 254.76470588235293, 'left': 316.52941176470586, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13780,front,,Normal Gait,normal,"{'top': 254.2941176470588, 'left': 319.5882352941176, 'height': 72.00000000000003, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13781,front,,Normal Gait,normal,"{'top': 253.8235294117647, 'left': 322.6470588235294, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13782,front,,Normal Gait,normal,"{'top': 253.35294117647058, 'left': 325.70588235294116, 'height': 72.00000000000003, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13783,front,,Normal Gait,normal,"{'top': 252.88235294117646, 'left': 328.7647058823529, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13784,front,,Normal Gait,normal,"{'top': 252.41176470588235, 'left': 331.8235294117647, 'height': 72.00000000000003, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13785,front,,Normal Gait,normal,"{'top': 251.94117647058823, 'left': 334.88235294117646, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13786,front,,Normal Gait,normal,"{'top': 251.47058823529412, 'left': 337.94117647058823, 'height': 72.00000000000003, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13787,front,,Normal Gait,normal,"{'top': 251.0, 'left': 341.0, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13788,front,,Normal Gait,normal,"{'top': 251.25, 'left': 344.625, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13789,front,,Normal Gait,normal,"{'top': 251.5, 'left': 348.25, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cllenx426003m3o6ld6v9zx31,13790,front,,Normal Gait,normal,"{'top': 251.75, 'left': 351.875, 'height': 72.0, 'width': 46.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
