seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljan9b4p00043n6ligceanyp,1757,right side,,Abnormal Gait,parkinsons,"{'top': 125.0, 'left': 156.0, 'height': 497.0, 'width': 228.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1758,right side,,Abnormal Gait,parkinsons,"{'top': 124.97368421052632, 'left': 155.78947368421052, 'height': 497.3684210526316, 'width': 229.0263157894737}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1759,right side,,Abnormal Gait,parkinsons,"{'top': 124.94736842105263, 'left': 155.57894736842104, 'height': 497.73684210526324, 'width': 230.0526315789474}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1760,right side,,Abnormal Gait,parkinsons,"{'top': 124.92105263157895, 'left': 155.3684210526316, 'height': 498.1052631578947, 'width': 231.07894736842107}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1761,right side,,Abnormal Gait,parkinsons,"{'top': 124.89473684210526, 'left': 155.1578947368421, 'height': 498.4736842105263, 'width': 232.1052631578947}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1762,right side,,Abnormal Gait,parkinsons,"{'top': 124.86842105263158, 'left': 154.94736842105263, 'height': 498.8421052631579, 'width': 233.1315789473684}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1763,right side,,Abnormal Gait,parkinsons,"{'top': 124.84210526315789, 'left': 154.73684210526315, 'height': 499.2105263157895, 'width': 234.1578947368421}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1764,right side,,Abnormal Gait,parkinsons,"{'top': 124.8157894736842, 'left': 154.52631578947367, 'height': 499.5789473684211, 'width': 235.1842105263158}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1765,right side,,Abnormal Gait,parkinsons,"{'top': 124.78947368421052, 'left': 154.31578947368422, 'height': 499.9473684210526, 'width': 236.21052631578948}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
cljan9b4p00043n6ligceanyp,1766,right side,,Abnormal Gait,parkinsons,"{'top': 124.76315789473684, 'left': 154.10526315789474, 'height': 500.3157894736842, 'width': 237.23684210526318}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8
