seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw6a6on003e3n6l34f95ehd,6401,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 415.0, 'width': 215.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6402,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 416.1923076923077, 'width': 215.84615384615387}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6403,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 417.38461538461536, 'width': 216.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6404,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 418.5769230769231, 'width': 217.53846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6405,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 419.7692307692308, 'width': 218.38461538461536}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6406,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 420.96153846153845, 'width': 219.23076923076923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6407,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 422.15384615384613, 'width': 220.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6408,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 423.34615384615387, 'width': 220.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6409,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 424.53846153846155, 'width': 221.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6410,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 425.7307692307692, 'width': 222.61538461538464}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6411,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 426.9230769230769, 'width': 223.46153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
cljw6a6on003e3n6l34f95ehd,6412,front,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 193.0, 'height': 428.11538461538464, 'width': 224.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",bmi1hYOnTHs,https://www.youtube.com/watch?v=bmi1hYOnTHs
