seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw7pk60006w3n6lud1dvft9,1347,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 264.0, 'height': 456.0, 'width': 228.0}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1348,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 264.5744680851064, 'height': 455.70212765957444, 'width': 228.25531914893617}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1349,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 265.1489361702128, 'height': 455.40425531914894, 'width': 228.51063829787233}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1350,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 265.72340425531917, 'height': 455.1063829787234, 'width': 228.7659574468085}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1351,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 266.29787234042556, 'height': 454.8085106382979, 'width': 229.02127659574467}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1352,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 266.8723404255319, 'height': 454.51063829787233, 'width': 229.2765957446809}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1353,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 267.4468085106383, 'height': 454.21276595744683, 'width': 229.53191489361706}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1354,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 268.02127659574467, 'height': 453.9148936170213, 'width': 229.78723404255322}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1355,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 268.59574468085106, 'height': 453.6170212765957, 'width': 230.0425531914894}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1356,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 269.17021276595744, 'height': 453.3191489361702, 'width': 230.29787234042556}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1357,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 269.74468085106383, 'height': 453.02127659574467, 'width': 230.55319148936172}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1358,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 270.3191489361702, 'height': 452.72340425531917, 'width': 230.8085106382979}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1359,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 270.8936170212766, 'height': 452.4255319148936, 'width': 231.063829787234}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1360,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 271.468085106383, 'height': 452.1276595744681, 'width': 231.31914893617017}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1361,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 272.04255319148933, 'height': 451.82978723404256, 'width': 231.5744680851064}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1362,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 272.6170212765957, 'height': 451.531914893617, 'width': 231.82978723404256}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1363,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 273.1914893617021, 'height': 451.2340425531915, 'width': 232.08510638297872}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1364,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 273.7659574468085, 'height': 450.93617021276594, 'width': 232.3404255319149}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1365,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 274.3404255319149, 'height': 450.63829787234044, 'width': 232.59574468085106}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1366,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 274.9148936170213, 'height': 450.3404255319149, 'width': 232.85106382978722}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1367,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 275.48936170212767, 'height': 450.0425531914894, 'width': 233.1063829787234}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1368,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 276.06382978723406, 'height': 449.74468085106383, 'width': 233.36170212765956}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1369,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 276.63829787234044, 'height': 449.4468085106383, 'width': 233.61702127659572}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1370,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 277.21276595744683, 'height': 449.1489361702128, 'width': 233.8723404255319}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1371,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 277.78723404255317, 'height': 448.8510638297872, 'width': 234.1276595744681}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1372,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 278.36170212765956, 'height': 448.5531914893617, 'width': 234.38297872340422}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
cljw7pk60006w3n6lud1dvft9,1373,right side,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 278.93617021276594, 'height': 448.25531914893617, 'width': 234.6382978723404}","{'height': 480, 'width': 720, 'mime_type': 'video/mp4'}",dxRMtNtjwCc,https://www.youtube.com/watch?v=dxRMtNtjwCc
