seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwno0m600043n6lq54umusu,2,front,,Abnormal Gait,parkinsons,"{'top': 86.0, 'left': 319.0, 'height': 285.0, 'width': 108.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,3,front,,Abnormal Gait,parkinsons,"{'top': 85.55, 'left': 317.65, 'height': 287.25, 'width': 111.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,4,front,,Abnormal Gait,parkinsons,"{'top': 85.1, 'left': 316.3, 'height': 289.5, 'width': 114.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,5,front,,Abnormal Gait,parkinsons,"{'top': 84.65, 'left': 314.95, 'height': 291.75, 'width': 117.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,6,front,,Abnormal Gait,parkinsons,"{'top': 84.2, 'left': 313.6, 'height': 294.0, 'width': 121.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,7,front,,Abnormal Gait,parkinsons,"{'top': 83.75, 'left': 312.25, 'height': 296.25, 'width': 124.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,8,front,,Abnormal Gait,parkinsons,"{'top': 83.3, 'left': 310.9, 'height': 298.5, 'width': 127.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,9,front,,Abnormal Gait,parkinsons,"{'top': 82.85, 'left': 309.55, 'height': 300.75, 'width': 130.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,10,front,,Abnormal Gait,parkinsons,"{'top': 82.4, 'left': 308.2, 'height': 303.0, 'width': 134.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,11,front,,Abnormal Gait,parkinsons,"{'top': 81.95, 'left': 306.85, 'height': 305.25, 'width': 137.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,12,front,,Abnormal Gait,parkinsons,"{'top': 81.5, 'left': 305.5, 'height': 307.5, 'width': 140.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,13,front,,Abnormal Gait,parkinsons,"{'top': 81.05, 'left': 304.15, 'height': 309.75, 'width': 143.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,14,front,,Abnormal Gait,parkinsons,"{'top': 80.6, 'left': 302.8, 'height': 312.0, 'width': 147.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,15,front,,Abnormal Gait,parkinsons,"{'top': 80.15, 'left': 301.45, 'height': 314.25, 'width': 150.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,16,front,,Abnormal Gait,parkinsons,"{'top': 79.7, 'left': 300.1, 'height': 316.5, 'width': 153.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,17,front,,Abnormal Gait,parkinsons,"{'top': 79.25, 'left': 298.75, 'height': 318.75, 'width': 156.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,18,front,,Abnormal Gait,parkinsons,"{'top': 78.8, 'left': 297.4, 'height': 321.0, 'width': 160.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
cljwno0m600043n6lq54umusu,19,front,,Abnormal Gait,parkinsons,"{'top': 78.35, 'left': 296.05, 'height': 323.25, 'width': 163.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",-oJM2wUUjws,https://www.youtube.com/watch?v=-oJM2wUUjws
