seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll1suku5000i3o6l0ztj3m3v,3704,back,,Abnormal Gait,parkinsons,"{'top': 50.0, 'left': 226.0, 'height': 332.0, 'width': 175.0}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3705,back,,Abnormal Gait,parkinsons,"{'top': 50.05844155844156, 'left': 226.32467532467533, 'height': 331.1558441558442, 'width': 174.37662337662337}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3706,back,,Abnormal Gait,parkinsons,"{'top': 50.116883116883116, 'left': 226.64935064935065, 'height': 330.31168831168833, 'width': 173.75324675324674}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3707,back,,Abnormal Gait,parkinsons,"{'top': 50.175324675324674, 'left': 226.97402597402598, 'height': 329.46753246753246, 'width': 173.1298701298701}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3708,back,,Abnormal Gait,parkinsons,"{'top': 50.23376623376623, 'left': 227.2987012987013, 'height': 328.6233766233766, 'width': 172.50649350649348}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3709,back,,Abnormal Gait,parkinsons,"{'top': 50.29220779220779, 'left': 227.62337662337663, 'height': 327.77922077922074, 'width': 171.88311688311686}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3710,back,,Abnormal Gait,parkinsons,"{'top': 50.35064935064935, 'left': 227.94805194805195, 'height': 326.93506493506493, 'width': 171.25974025974023}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3711,back,,Abnormal Gait,parkinsons,"{'top': 50.40909090909091, 'left': 228.27272727272728, 'height': 326.0909090909091, 'width': 170.63636363636365}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3712,back,,Abnormal Gait,parkinsons,"{'top': 50.467532467532465, 'left': 228.5974025974026, 'height': 325.24675324675326, 'width': 170.01298701298703}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1suku5000i3o6l0ztj3m3v,3713,back,,Abnormal Gait,parkinsons,"{'top': 50.52597402597402, 'left': 228.92207792207793, 'height': 324.4025974025974, 'width': 169.3896103896104}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
