seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll1swzih00163o6lxkyk0n6i,4530,front,,Abnormal Gait,parkinsons,"{'top': 66.0, 'left': 255.0, 'height': 201.0, 'width': 93.0}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4531,front,,Abnormal Gait,parkinsons,"{'top': 65.76811594202898, 'left': 254.7246376811594, 'height': 203.3623188405797, 'width': 93.7391304347826}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4532,front,,Abnormal Gait,parkinsons,"{'top': 65.53623188405797, 'left': 254.44927536231884, 'height': 205.7246376811594, 'width': 94.47826086956522}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4533,front,,Abnormal Gait,parkinsons,"{'top': 65.30434782608695, 'left': 254.17391304347825, 'height': 208.08695652173913, 'width': 95.21739130434781}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4534,front,,Abnormal Gait,parkinsons,"{'top': 65.07246376811594, 'left': 253.8985507246377, 'height': 210.44927536231887, 'width': 95.95652173913044}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4535,front,,Abnormal Gait,parkinsons,"{'top': 64.84057971014492, 'left': 253.6231884057971, 'height': 212.81159420289856, 'width': 96.69565217391303}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4536,front,,Abnormal Gait,parkinsons,"{'top': 64.6086956521739, 'left': 253.34782608695653, 'height': 215.17391304347828, 'width': 97.43478260869566}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4537,front,,Abnormal Gait,parkinsons,"{'top': 64.3768115942029, 'left': 253.07246376811594, 'height': 217.53623188405797, 'width': 98.17391304347825}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4538,front,,Abnormal Gait,parkinsons,"{'top': 64.14492753623189, 'left': 252.79710144927537, 'height': 219.8985507246377, 'width': 98.91304347826087}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
cll1swzih00163o6lxkyk0n6i,4539,front,,Abnormal Gait,parkinsons,"{'top': 63.91304347826087, 'left': 252.52173913043478, 'height': 222.26086956521738, 'width': 99.65217391304347}","{'height': 480, 'width': 644, 'mime_type': 'video/mp4'}",t1IkEAkBSz4,https://www.youtube.com/watch?v=t1IkEAkBSz4
