seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7nljgk000d3o6l3psndypi,678,right side,,Abnormal Gait,parkinsons,"{'top': 20.0, 'left': 228.0, 'height': 453.0, 'width': 178.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,679,right side,,Abnormal Gait,parkinsons,"{'top': 20.0, 'left': 228.0, 'height': 456.5, 'width': 198.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,680,right side,,Abnormal Gait,parkinsons,"{'top': 20.0, 'left': 228.0, 'height': 460.0, 'width': 218.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,681,right side,,Abnormal Gait,parkinsons,"{'top': 20.02857142857143, 'left': 227.14285714285714, 'height': 459.9714285714286, 'width': 218.68571428571428}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,682,right side,,Abnormal Gait,parkinsons,"{'top': 20.057142857142857, 'left': 226.28571428571428, 'height': 459.9428571428571, 'width': 219.37142857142857}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,683,right side,,Abnormal Gait,parkinsons,"{'top': 20.085714285714285, 'left': 225.42857142857142, 'height': 459.9142857142857, 'width': 220.05714285714285}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,684,right side,,Abnormal Gait,parkinsons,"{'top': 20.114285714285714, 'left': 224.57142857142858, 'height': 459.8857142857143, 'width': 220.7428571428571}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,685,right side,,Abnormal Gait,parkinsons,"{'top': 20.142857142857142, 'left': 223.71428571428572, 'height': 459.85714285714283, 'width': 221.42857142857144}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,686,right side,,Abnormal Gait,parkinsons,"{'top': 20.17142857142857, 'left': 222.85714285714286, 'height': 459.8285714285714, 'width': 222.11428571428573}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,687,right side,,Abnormal Gait,parkinsons,"{'top': 20.2, 'left': 222.0, 'height': 459.8, 'width': 222.8}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,688,right side,,Abnormal Gait,parkinsons,"{'top': 20.228571428571428, 'left': 221.14285714285714, 'height': 459.7714285714286, 'width': 223.4857142857143}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,689,right side,,Abnormal Gait,parkinsons,"{'top': 20.257142857142856, 'left': 220.28571428571428, 'height': 459.74285714285713, 'width': 224.17142857142858}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,690,right side,,Abnormal Gait,parkinsons,"{'top': 20.285714285714285, 'left': 219.42857142857142, 'height': 459.7142857142857, 'width': 224.85714285714286}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,691,right side,,Abnormal Gait,parkinsons,"{'top': 20.314285714285713, 'left': 218.57142857142858, 'height': 459.6857142857143, 'width': 225.54285714285712}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
cll7nljgk000d3o6l3psndypi,692,right side,,Abnormal Gait,parkinsons,"{'top': 20.34285714285714, 'left': 217.71428571428572, 'height': 459.65714285714284, 'width': 226.2285714285714}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",JUMhhwFANKE,https://www.youtube.com/watch?v=JUMhhwFANKE
