seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8f6ept00473o6lw6kjtfk7,512,back,,Abnormal Gait,parkinsons,"{'top': 0.0, 'left': 335.0, 'height': 480.0, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,513,back,,Abnormal Gait,parkinsons,"{'top': 1.5348837209302322, 'left': 335.74418604651163, 'height': 476.60465116279073, 'width': 155.11627906976742}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,514,back,,Abnormal Gait,parkinsons,"{'top': 3.069767441860465, 'left': 336.48837209302326, 'height': 473.2093023255814, 'width': 154.2325581395349}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,515,back,,Abnormal Gait,parkinsons,"{'top': 4.604651162790698, 'left': 337.2325581395349, 'height': 469.81395348837214, 'width': 153.3488372093023}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,516,back,,Abnormal Gait,parkinsons,"{'top': 6.13953488372093, 'left': 337.9767441860465, 'height': 466.41860465116275, 'width': 152.46511627906978}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,517,back,,Abnormal Gait,parkinsons,"{'top': 7.674418604651163, 'left': 338.72093023255815, 'height': 463.0232558139535, 'width': 151.5813953488372}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,518,back,,Abnormal Gait,parkinsons,"{'top': 9.209302325581396, 'left': 339.4651162790698, 'height': 459.62790697674416, 'width': 150.69767441860466}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,519,back,,Abnormal Gait,parkinsons,"{'top': 10.74418604651163, 'left': 340.2093023255814, 'height': 456.2325581395349, 'width': 149.81395348837208}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,520,back,,Abnormal Gait,parkinsons,"{'top': 12.279069767441861, 'left': 340.95348837209303, 'height': 452.83720930232556, 'width': 148.93023255813955}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,521,back,,Abnormal Gait,parkinsons,"{'top': 13.813953488372094, 'left': 341.69767441860466, 'height': 449.4418604651163, 'width': 148.04651162790697}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,522,back,,Abnormal Gait,parkinsons,"{'top': 15.348837209302326, 'left': 342.4418604651163, 'height': 446.046511627907, 'width': 147.16279069767438}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,523,back,,Abnormal Gait,parkinsons,"{'top': 16.88372093023256, 'left': 343.1860465116279, 'height': 442.65116279069764, 'width': 146.27906976744185}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,524,back,,Abnormal Gait,parkinsons,"{'top': 18.41860465116279, 'left': 343.93023255813955, 'height': 439.25581395348837, 'width': 145.39534883720927}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,525,back,,Abnormal Gait,parkinsons,"{'top': 19.953488372093023, 'left': 344.6744186046512, 'height': 435.86046511627904, 'width': 144.51162790697674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f6ept00473o6lw6kjtfk7,526,back,,Abnormal Gait,parkinsons,"{'top': 21.48837209302326, 'left': 345.4186046511628, 'height': 432.4651162790698, 'width': 143.62790697674416}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
