seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8f95iw004n3o6l6eqevch7,1378,right side,,Abnormal Gait,parkinsons,"{'top': 15.0, 'left': 531.0, 'height': 294.0, 'width': 130.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1379,right side,,Abnormal Gait,parkinsons,"{'top': 14.73076923076923, 'left': 526.3461538461538, 'height': 295.6923076923077, 'width': 132.53846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1380,right side,,Abnormal Gait,parkinsons,"{'top': 14.461538461538462, 'left': 521.6923076923077, 'height': 297.3846153846154, 'width': 135.07692307692298}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1381,right side,,Abnormal Gait,parkinsons,"{'top': 14.192307692307692, 'left': 517.0384615384615, 'height': 299.0769230769231, 'width': 137.61538461538464}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1382,right side,,Abnormal Gait,parkinsons,"{'top': 13.923076923076923, 'left': 512.3846153846154, 'height': 300.7692307692308, 'width': 140.1538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1383,right side,,Abnormal Gait,parkinsons,"{'top': 13.653846153846153, 'left': 507.7307692307692, 'height': 302.4615384615385, 'width': 142.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1384,right side,,Abnormal Gait,parkinsons,"{'top': 13.384615384615385, 'left': 503.0769230769231, 'height': 304.1538461538462, 'width': 145.23076923076917}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1385,right side,,Abnormal Gait,parkinsons,"{'top': 13.115384615384615, 'left': 498.4230769230769, 'height': 305.8461538461538, 'width': 147.76923076923083}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1386,right side,,Abnormal Gait,parkinsons,"{'top': 12.846153846153847, 'left': 493.7692307692308, 'height': 307.5384615384615, 'width': 150.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
cll8f95iw004n3o6l6eqevch7,1387,right side,,Abnormal Gait,parkinsons,"{'top': 12.576923076923077, 'left': 489.11538461538464, 'height': 309.2307692307692, 'width': 152.8461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",pFLC9C-xH8E,https://www.youtube.com/watch?v=pFLC9C-xH8E
