seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllbkxxuf000c3o6l848vr3gz,188,front,,Abnormal Gait,parkinsons,"{'top': 149.0, 'left': 569.0, 'height': 316.0, 'width': 139.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,189,front,,Abnormal Gait,parkinsons,"{'top': 148.8372093023256, 'left': 568.7441860465116, 'height': 316.8759689922481, 'width': 139.34883720930236}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,190,front,,Abnormal Gait,parkinsons,"{'top': 148.67441860465115, 'left': 568.4883720930233, 'height': 317.7519379844962, 'width': 139.6976744186046}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,191,front,,Abnormal Gait,parkinsons,"{'top': 148.51162790697674, 'left': 568.2325581395348, 'height': 318.6279069767442, 'width': 140.04651162790708}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,192,front,,Abnormal Gait,parkinsons,"{'top': 148.34883720930233, 'left': 567.9767441860465, 'height': 319.50387596899225, 'width': 140.39534883720933}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,193,front,,Abnormal Gait,parkinsons,"{'top': 148.1860465116279, 'left': 567.7209302325581, 'height': 320.37984496124034, 'width': 140.7441860465117}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,194,front,,Abnormal Gait,parkinsons,"{'top': 148.02325581395348, 'left': 567.4651162790698, 'height': 321.25581395348837, 'width': 141.09302325581393}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,195,front,,Abnormal Gait,parkinsons,"{'top': 147.86046511627907, 'left': 567.2093023255813, 'height': 322.1317829457364, 'width': 141.4418604651163}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,196,front,,Abnormal Gait,parkinsons,"{'top': 147.69767441860466, 'left': 566.953488372093, 'height': 323.0077519379845, 'width': 141.79069767441854}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,197,front,,Abnormal Gait,parkinsons,"{'top': 147.53488372093022, 'left': 566.6976744186046, 'height': 323.8837209302326, 'width': 142.139534883721}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,198,front,,Abnormal Gait,parkinsons,"{'top': 147.37209302325581, 'left': 566.4418604651163, 'height': 324.7596899224807, 'width': 142.48837209302326}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,199,front,,Abnormal Gait,parkinsons,"{'top': 147.2093023255814, 'left': 566.1860465116279, 'height': 325.63565891472865, 'width': 142.83720930232562}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,200,front,,Abnormal Gait,parkinsons,"{'top': 147.04651162790697, 'left': 565.9302325581396, 'height': 326.51162790697674, 'width': 143.18604651162786}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,201,front,,Abnormal Gait,parkinsons,"{'top': 146.88372093023256, 'left': 565.6744186046511, 'height': 327.38759689922483, 'width': 143.53488372093022}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,202,front,,Abnormal Gait,parkinsons,"{'top': 146.72093023255815, 'left': 565.4186046511628, 'height': 328.26356589147287, 'width': 143.88372093023258}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,203,front,,Abnormal Gait,parkinsons,"{'top': 146.5581395348837, 'left': 565.1627906976744, 'height': 329.13953488372096, 'width': 144.23255813953494}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,204,front,,Abnormal Gait,parkinsons,"{'top': 146.3953488372093, 'left': 564.9069767441861, 'height': 330.015503875969, 'width': 144.5813953488372}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,205,front,,Abnormal Gait,parkinsons,"{'top': 146.2325581395349, 'left': 564.6511627906976, 'height': 330.891472868217, 'width': 144.93023255813955}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,206,front,,Abnormal Gait,parkinsons,"{'top': 146.06976744186048, 'left': 564.3953488372093, 'height': 331.76744186046506, 'width': 145.2790697674418}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,207,front,,Abnormal Gait,parkinsons,"{'top': 145.90697674418604, 'left': 564.1395348837209, 'height': 332.64341085271315, 'width': 145.62790697674427}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,208,front,,Abnormal Gait,parkinsons,"{'top': 145.74418604651163, 'left': 563.8837209302326, 'height': 333.51937984496124, 'width': 145.97674418604652}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,209,front,,Abnormal Gait,parkinsons,"{'top': 145.58139534883722, 'left': 563.6279069767442, 'height': 334.3953488372093, 'width': 146.32558139534888}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,210,front,,Abnormal Gait,parkinsons,"{'top': 145.41860465116278, 'left': 563.3720930232558, 'height': 335.2713178294574, 'width': 146.67441860465112}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,211,front,,Abnormal Gait,parkinsons,"{'top': 145.25581395348837, 'left': 563.1162790697674, 'height': 336.14728682170545, 'width': 147.02325581395348}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,212,front,,Abnormal Gait,parkinsons,"{'top': 145.09302325581396, 'left': 562.8604651162791, 'height': 337.0232558139535, 'width': 147.37209302325573}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,213,front,,Abnormal Gait,parkinsons,"{'top': 144.93023255813952, 'left': 562.6046511627907, 'height': 337.8992248062016, 'width': 147.7209302325582}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,214,front,,Abnormal Gait,parkinsons,"{'top': 144.7674418604651, 'left': 562.3488372093024, 'height': 338.7751937984496, 'width': 148.06976744186045}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,215,front,,Abnormal Gait,parkinsons,"{'top': 144.6046511627907, 'left': 562.0930232558139, 'height': 339.65116279069764, 'width': 148.4186046511628}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,216,front,,Abnormal Gait,parkinsons,"{'top': 144.4418604651163, 'left': 561.8372093023256, 'height': 340.52713178294573, 'width': 148.76744186046506}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,217,front,,Abnormal Gait,parkinsons,"{'top': 144.27906976744185, 'left': 561.5813953488372, 'height': 341.4031007751938, 'width': 149.11627906976742}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,218,front,,Abnormal Gait,parkinsons,"{'top': 144.11627906976744, 'left': 561.3255813953489, 'height': 342.2790697674419, 'width': 149.46511627906978}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
cllbkxxuf000c3o6l848vr3gz,219,front,,Abnormal Gait,parkinsons,"{'top': 143.95348837209303, 'left': 561.0697674418604, 'height': 343.1550387596899, 'width': 149.81395348837214}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",v1SoZ_S31pk,https://www.youtube.com/watch?v=v1SoZ_S31pk
