seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo8cyv500603n6lyl148tmg,1271,front,,Abnormal Gait,stroke,"{'top': 52.0, 'left': 357.0, 'height': 266.0, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1272,front,,Abnormal Gait,stroke,"{'top': 52.411764705882355, 'left': 357.11764705882354, 'height': 266.4705882352941, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1273,front,,Abnormal Gait,stroke,"{'top': 52.8235294117647, 'left': 357.2352941176471, 'height': 266.94117647058823, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1274,front,,Abnormal Gait,stroke,"{'top': 53.23529411764706, 'left': 357.3529411764706, 'height': 267.4117647058823, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1275,front,,Abnormal Gait,stroke,"{'top': 53.64705882352941, 'left': 357.47058823529414, 'height': 267.88235294117646, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1276,front,,Abnormal Gait,stroke,"{'top': 54.05882352941177, 'left': 357.5882352941176, 'height': 268.3529411764706, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1277,front,,Abnormal Gait,stroke,"{'top': 54.470588235294116, 'left': 357.70588235294116, 'height': 268.82352941176475, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1278,front,,Abnormal Gait,stroke,"{'top': 54.88235294117647, 'left': 357.8235294117647, 'height': 269.29411764705884, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1279,front,,Abnormal Gait,stroke,"{'top': 55.294117647058826, 'left': 357.94117647058823, 'height': 269.7647058823529, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1280,front,,Abnormal Gait,stroke,"{'top': 55.705882352941174, 'left': 358.05882352941177, 'height': 270.2352941176471, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1281,front,,Abnormal Gait,stroke,"{'top': 56.11764705882353, 'left': 358.1764705882353, 'height': 270.70588235294116, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1282,front,,Abnormal Gait,stroke,"{'top': 56.529411764705884, 'left': 358.29411764705884, 'height': 271.17647058823525, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1283,front,,Abnormal Gait,stroke,"{'top': 56.94117647058823, 'left': 358.4117647058824, 'height': 271.6470588235294, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1284,front,,Abnormal Gait,stroke,"{'top': 57.35294117647059, 'left': 358.52941176470586, 'height': 272.11764705882354, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1285,front,,Abnormal Gait,stroke,"{'top': 57.76470588235294, 'left': 358.6470588235294, 'height': 272.5882352941177, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1286,front,,Abnormal Gait,stroke,"{'top': 58.17647058823529, 'left': 358.7647058823529, 'height': 273.05882352941177, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1287,front,,Abnormal Gait,stroke,"{'top': 58.588235294117645, 'left': 358.88235294117646, 'height': 273.5294117647059, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1288,front,,Abnormal Gait,stroke,"{'top': 59.0, 'left': 359.0, 'height': 274.0, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1289,front,,Abnormal Gait,stroke,"{'top': 58.94117647058823, 'left': 358.4117647058824, 'height': 274.47058823529414, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1290,front,,Abnormal Gait,stroke,"{'top': 58.88235294117647, 'left': 357.8235294117647, 'height': 274.94117647058823, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1291,front,,Abnormal Gait,stroke,"{'top': 58.8235294117647, 'left': 357.2352941176471, 'height': 275.4117647058824, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1292,front,,Abnormal Gait,stroke,"{'top': 58.76470588235294, 'left': 356.6470588235294, 'height': 275.88235294117646, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1293,front,,Abnormal Gait,stroke,"{'top': 58.705882352941174, 'left': 356.05882352941177, 'height': 276.3529411764706, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1294,front,,Abnormal Gait,stroke,"{'top': 58.64705882352941, 'left': 355.47058823529414, 'height': 276.82352941176475, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1295,front,,Abnormal Gait,stroke,"{'top': 58.588235294117645, 'left': 354.88235294117646, 'height': 277.29411764705884, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1296,front,,Abnormal Gait,stroke,"{'top': 58.529411764705884, 'left': 354.29411764705884, 'height': 277.7647058823529, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1297,front,,Abnormal Gait,stroke,"{'top': 58.470588235294116, 'left': 353.70588235294116, 'height': 278.2352941176471, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1298,front,,Abnormal Gait,stroke,"{'top': 58.411764705882355, 'left': 353.11764705882354, 'height': 278.70588235294116, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1299,front,,Abnormal Gait,stroke,"{'top': 58.35294117647059, 'left': 352.52941176470586, 'height': 279.17647058823525, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1300,front,,Abnormal Gait,stroke,"{'top': 58.294117647058826, 'left': 351.94117647058823, 'height': 279.6470588235294, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8cyv500603n6lyl148tmg,1301,front,,Abnormal Gait,stroke,"{'top': 58.23529411764706, 'left': 351.3529411764706, 'height': 280.11764705882354, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
