seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo8eumx00683n6le2s7myd4,2792,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 413.0, 'width': 177.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2793,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 413.1875, 'width': 177.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2794,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 413.375, 'width': 178.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2795,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 413.5625, 'width': 179.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2796,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 413.75, 'width': 180.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2797,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 413.9375, 'width': 180.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2798,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 414.125, 'width': 181.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2799,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 414.3125, 'width': 182.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2800,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 414.5, 'width': 183.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
cljo8eumx00683n6le2s7myd4,2801,left side,,Abnormal Gait,stroke,"{'top': 22.0, 'left': 352.0, 'height': 414.6875, 'width': 183.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs
