seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw6utb3002i3n6ll0pspyhl,1,front,,Abnormal Gait,stroke,"{'top': 42.0, 'left': 113.0, 'height': 171.0, 'width': 118.0}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,2,front,,Abnormal Gait,stroke,"{'top': 41.785714285714285, 'left': 112.5, 'height': 171.5, 'width': 118.9047619047619}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,3,front,,Abnormal Gait,stroke,"{'top': 41.57142857142857, 'left': 112.0, 'height': 172.0, 'width': 119.8095238095238}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,4,front,,Abnormal Gait,stroke,"{'top': 41.357142857142854, 'left': 111.5, 'height': 172.5, 'width': 120.71428571428572}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,5,front,,Abnormal Gait,stroke,"{'top': 41.142857142857146, 'left': 111.0, 'height': 173.0, 'width': 121.61904761904762}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,6,front,,Abnormal Gait,stroke,"{'top': 40.92857142857143, 'left': 110.5, 'height': 173.5, 'width': 122.52380952380952}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,7,front,,Abnormal Gait,stroke,"{'top': 40.714285714285715, 'left': 110.0, 'height': 174.0, 'width': 123.42857142857142}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,8,front,,Abnormal Gait,stroke,"{'top': 40.5, 'left': 109.5, 'height': 174.5, 'width': 124.33333333333334}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,9,front,,Abnormal Gait,stroke,"{'top': 40.285714285714285, 'left': 109.0, 'height': 175.0, 'width': 125.23809523809524}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,10,front,,Abnormal Gait,stroke,"{'top': 40.07142857142857, 'left': 108.5, 'height': 175.5, 'width': 126.14285714285714}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,11,front,,Abnormal Gait,stroke,"{'top': 39.857142857142854, 'left': 108.0, 'height': 176.0, 'width': 127.04761904761904}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,12,front,,Abnormal Gait,stroke,"{'top': 39.642857142857146, 'left': 107.5, 'height': 176.5, 'width': 127.95238095238096}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,13,front,,Abnormal Gait,stroke,"{'top': 39.42857142857143, 'left': 107.0, 'height': 177.0, 'width': 128.85714285714286}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,14,front,,Abnormal Gait,stroke,"{'top': 39.214285714285715, 'left': 106.5, 'height': 177.5, 'width': 129.76190476190476}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,15,front,,Abnormal Gait,stroke,"{'top': 39.0, 'left': 106.0, 'height': 178.0, 'width': 130.66666666666666}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,16,front,,Abnormal Gait,stroke,"{'top': 38.785714285714285, 'left': 105.5, 'height': 178.5, 'width': 131.57142857142858}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,17,front,,Abnormal Gait,stroke,"{'top': 38.57142857142857, 'left': 105.0, 'height': 179.0, 'width': 132.47619047619048}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,18,front,,Abnormal Gait,stroke,"{'top': 38.357142857142854, 'left': 104.5, 'height': 179.5, 'width': 133.38095238095238}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,19,front,,Abnormal Gait,stroke,"{'top': 38.142857142857146, 'left': 104.0, 'height': 180.0, 'width': 134.28571428571428}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,20,front,,Abnormal Gait,stroke,"{'top': 37.92857142857143, 'left': 103.5, 'height': 180.5, 'width': 135.1904761904762}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,21,front,,Abnormal Gait,stroke,"{'top': 37.714285714285715, 'left': 103.0, 'height': 181.0, 'width': 136.0952380952381}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,22,front,,Abnormal Gait,stroke,"{'top': 37.5, 'left': 102.5, 'height': 181.5, 'width': 137.0}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,23,front,,Abnormal Gait,stroke,"{'top': 37.285714285714285, 'left': 102.0, 'height': 182.0, 'width': 137.9047619047619}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,24,front,,Abnormal Gait,stroke,"{'top': 37.07142857142857, 'left': 101.5, 'height': 182.5, 'width': 138.8095238095238}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,25,front,,Abnormal Gait,stroke,"{'top': 36.85714285714286, 'left': 101.0, 'height': 183.0, 'width': 139.71428571428572}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,26,front,,Abnormal Gait,stroke,"{'top': 36.642857142857146, 'left': 100.5, 'height': 183.5, 'width': 140.61904761904762}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,27,front,,Abnormal Gait,stroke,"{'top': 36.42857142857143, 'left': 100.0, 'height': 184.0, 'width': 141.52380952380952}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,28,front,,Abnormal Gait,stroke,"{'top': 36.214285714285715, 'left': 99.5, 'height': 184.5, 'width': 142.42857142857142}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,29,front,,Abnormal Gait,stroke,"{'top': 36.0, 'left': 99.0, 'height': 185.0, 'width': 143.33333333333334}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6utb3002i3n6ll0pspyhl,30,front,,Abnormal Gait,stroke,"{'top': 35.785714285714285, 'left': 98.5, 'height': 185.5, 'width': 144.23809523809524}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
