seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw6vv80002m3n6l14b2y4jg,493,front,,Abnormal Gait,stroke,"{'top': 9.0, 'left': 383.0, 'height': 166.0, 'width': 120.0}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,494,front,,Abnormal Gait,stroke,"{'top': 8.956521739130435, 'left': 382.5652173913044, 'height': 166.6304347826087, 'width': 120.80434782608694}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,495,front,,Abnormal Gait,stroke,"{'top': 8.91304347826087, 'left': 382.1304347826087, 'height': 167.26086956521738, 'width': 121.60869565217394}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,496,front,,Abnormal Gait,stroke,"{'top': 8.869565217391305, 'left': 381.69565217391306, 'height': 167.8913043478261, 'width': 122.41304347826087}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,497,front,,Abnormal Gait,stroke,"{'top': 8.826086956521738, 'left': 381.2608695652174, 'height': 168.52173913043478, 'width': 123.21739130434781}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,498,front,,Abnormal Gait,stroke,"{'top': 8.782608695652174, 'left': 380.82608695652175, 'height': 169.15217391304347, 'width': 124.02173913043475}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,499,front,,Abnormal Gait,stroke,"{'top': 8.73913043478261, 'left': 380.39130434782606, 'height': 169.7826086956522, 'width': 124.82608695652175}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,500,front,,Abnormal Gait,stroke,"{'top': 8.695652173913043, 'left': 379.95652173913044, 'height': 170.41304347826087, 'width': 125.63043478260869}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,501,front,,Abnormal Gait,stroke,"{'top': 8.652173913043478, 'left': 379.5217391304348, 'height': 171.04347826086956, 'width': 126.43478260869563}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
cljw6vv80002m3n6l14b2y4jg,502,front,,Abnormal Gait,stroke,"{'top': 8.608695652173912, 'left': 379.0869565217391, 'height': 171.67391304347828, 'width': 127.23913043478262}","{'height': 270, 'width': 854, 'mime_type': 'video/mp4'}",CMls0LwK5OU,https://www.youtube.com/watch?v=CMls0LwK5OU
