seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw77snx004c3n6lvetndlu2,421,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 262.0, 'width': 133.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,422,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 262.42857142857144, 'width': 139.14285714285717}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,423,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 262.85714285714283, 'width': 145.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,424,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 263.2857142857143, 'width': 151.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,425,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 263.7142857142857, 'width': 157.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,426,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 264.14285714285717, 'width': 163.71428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,427,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 264.57142857142856, 'width': 169.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,428,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 344.0, 'height': 265.0, 'width': 176.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,429,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 343.76190476190476, 'height': 265.9166666666667, 'width': 176.72619047619042}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
cljw77snx004c3n6lvetndlu2,430,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 343.5238095238095, 'height': 266.8333333333333, 'width': 177.45238095238096}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dc7cnLxbpKU,https://www.youtube.com/watch?v=dc7cnLxbpKU
