seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw7jxyk00663n6la0rfq89w,380,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 426.0, 'height': 498.0, 'width': 194.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,381,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 421.27272727272725, 'height': 499.6363636363636, 'width': 199.4545454545455}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,382,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 416.54545454545456, 'height': 501.27272727272725, 'width': 204.90909090909093}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,383,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 411.8181818181818, 'height': 502.9090909090909, 'width': 210.36363636363632}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,384,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 407.09090909090907, 'height': 504.5454545454545, 'width': 215.8181818181818}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,385,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 402.3636363636364, 'height': 506.18181818181813, 'width': 221.27272727272725}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,386,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 397.6363636363636, 'height': 507.81818181818187, 'width': 226.72727272727275}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,387,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 392.9090909090909, 'height': 509.4545454545455, 'width': 232.18181818181824}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,388,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 388.1818181818182, 'height': 511.0909090909091, 'width': 237.63636363636368}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
cljw7jxyk00663n6la0rfq89w,389,left side,,Abnormal Gait,stroke,"{'top': 156.0, 'left': 383.45454545454544, 'height': 512.7272727272727, 'width': 243.09090909090907}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",dvfeYnWVD08,https://www.youtube.com/watch?v=dvfeYnWVD08
