seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw7tfqg007p3n6l0nwqb8w1,478,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.0, 'height': 202.0, 'width': 71.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,479,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.13333333333333, 'height': 202.0, 'width': 71.73333333333332}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,480,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.266666666666666, 'height': 202.0, 'width': 72.46666666666667}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,481,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.4, 'height': 202.0, 'width': 73.19999999999999}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,482,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.53333333333333, 'height': 202.0, 'width': 73.93333333333334}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,483,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.666666666666664, 'height': 202.0, 'width': 74.66666666666666}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,484,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.8, 'height': 202.0, 'width': 75.4}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,485,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 46.93333333333333, 'height': 202.0, 'width': 76.13333333333333}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,486,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.06666666666667, 'height': 202.0, 'width': 76.86666666666667}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,487,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.2, 'height': 202.0, 'width': 77.6}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,488,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.333333333333336, 'height': 202.0, 'width': 78.33333333333334}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,489,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.46666666666667, 'height': 202.0, 'width': 79.06666666666666}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,490,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.6, 'height': 202.0, 'width': 79.80000000000001}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,491,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.733333333333334, 'height': 202.0, 'width': 80.53333333333335}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,492,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 47.86666666666667, 'height': 202.0, 'width': 81.26666666666665}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,493,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 48.0, 'height': 202.0, 'width': 82.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,494,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 49.0, 'height': 202.0, 'width': 82.71428571428572}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,495,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 50.0, 'height': 202.0, 'width': 83.42857142857142}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,496,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 51.0, 'height': 202.0, 'width': 84.14285714285714}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,497,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 52.0, 'height': 202.0, 'width': 84.85714285714286}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,498,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 53.0, 'height': 202.0, 'width': 85.57142857142858}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,499,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 54.0, 'height': 202.0, 'width': 86.28571428571428}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,500,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 55.0, 'height': 202.0, 'width': 87.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,501,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 56.0, 'height': 202.0, 'width': 90.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,502,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 57.0, 'height': 202.0, 'width': 93.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,503,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 58.0, 'height': 202.0, 'width': 96.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,504,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 59.0, 'height': 202.0, 'width': 99.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,505,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 60.0, 'height': 202.0, 'width': 102.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,506,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 65.5, 'height': 202.0, 'width': 105.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,507,right side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 71.0, 'height': 202.0, 'width': 108.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,508,right side,,Abnormal Gait,stroke,"{'top': 0.14285714285714202, 'left': 73.92857142857143, 'height': 202.0, 'width': 107.42857142857143}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,509,right side,,Abnormal Gait,stroke,"{'top': 0.28571428571428503, 'left': 76.85714285714286, 'height': 202.0, 'width': 106.85714285714286}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,510,right side,,Abnormal Gait,stroke,"{'top': 0.42857142857142805, 'left': 79.78571428571428, 'height': 202.0, 'width': 106.2857142857143}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,511,right side,,Abnormal Gait,stroke,"{'top': 0.5714285714285711, 'left': 82.71428571428571, 'height': 202.0, 'width': 105.71428571428571}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,512,right side,,Abnormal Gait,stroke,"{'top': 0.7142857142857141, 'left': 85.64285714285714, 'height': 202.0, 'width': 105.14285714285714}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,513,right side,,Abnormal Gait,stroke,"{'top': 0.8571428571428571, 'left': 88.57142857142857, 'height': 202.0, 'width': 104.57142857142857}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,514,right side,,Abnormal Gait,stroke,"{'top': 1.0, 'left': 91.5, 'height': 202.0, 'width': 104.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,515,right side,,Abnormal Gait,stroke,"{'top': 1.142857142857142, 'left': 94.42857142857143, 'height': 202.0, 'width': 103.42857142857143}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,516,right side,,Abnormal Gait,stroke,"{'top': 1.2857142857142851, 'left': 97.35714285714286, 'height': 202.0, 'width': 102.85714285714286}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
cljw7tfqg007p3n6l0nwqb8w1,517,right side,,Abnormal Gait,stroke,"{'top': 1.428571428571428, 'left': 100.28571428571428, 'height': 202.0, 'width': 102.2857142857143}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",eBvzFkcvScg,https://www.youtube.com/watch?v=eBvzFkcvScg
