seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwcqyw500283n6lcmqv13n0,1982,front,,Abnormal Gait,stroke,"{'top': 47.0, 'left': 192.0, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1983,front,,Abnormal Gait,stroke,"{'top': 46.979166666666664, 'left': 192.625, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1984,front,,Abnormal Gait,stroke,"{'top': 46.958333333333336, 'left': 193.25, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1985,front,,Abnormal Gait,stroke,"{'top': 46.9375, 'left': 193.875, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1986,front,,Abnormal Gait,stroke,"{'top': 46.916666666666664, 'left': 194.5, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1987,front,,Abnormal Gait,stroke,"{'top': 46.895833333333336, 'left': 195.125, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1988,front,,Abnormal Gait,stroke,"{'top': 46.875, 'left': 195.75, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1989,front,,Abnormal Gait,stroke,"{'top': 46.854166666666664, 'left': 196.375, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1990,front,,Abnormal Gait,stroke,"{'top': 46.833333333333336, 'left': 197.0, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1991,front,,Abnormal Gait,stroke,"{'top': 46.8125, 'left': 197.625, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1992,front,,Abnormal Gait,stroke,"{'top': 46.791666666666664, 'left': 198.25, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1993,front,,Abnormal Gait,stroke,"{'top': 46.770833333333336, 'left': 198.875, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1994,front,,Abnormal Gait,stroke,"{'top': 46.75, 'left': 199.5, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1995,front,,Abnormal Gait,stroke,"{'top': 46.729166666666664, 'left': 200.125, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1996,front,,Abnormal Gait,stroke,"{'top': 46.708333333333336, 'left': 200.75, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1997,front,,Abnormal Gait,stroke,"{'top': 46.6875, 'left': 201.375, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1998,front,,Abnormal Gait,stroke,"{'top': 46.666666666666664, 'left': 202.0, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,1999,front,,Abnormal Gait,stroke,"{'top': 46.645833333333336, 'left': 202.625, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2000,front,,Abnormal Gait,stroke,"{'top': 46.625, 'left': 203.25, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2001,front,,Abnormal Gait,stroke,"{'top': 46.604166666666664, 'left': 203.875, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2002,front,,Abnormal Gait,stroke,"{'top': 46.583333333333336, 'left': 204.5, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2003,front,,Abnormal Gait,stroke,"{'top': 46.5625, 'left': 205.125, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2004,front,,Abnormal Gait,stroke,"{'top': 46.541666666666664, 'left': 205.75, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2005,front,,Abnormal Gait,stroke,"{'top': 46.520833333333336, 'left': 206.375, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2006,front,,Abnormal Gait,stroke,"{'top': 46.5, 'left': 207.0, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2007,front,,Abnormal Gait,stroke,"{'top': 46.479166666666664, 'left': 207.625, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2008,front,,Abnormal Gait,stroke,"{'top': 46.458333333333336, 'left': 208.25, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2009,front,,Abnormal Gait,stroke,"{'top': 46.4375, 'left': 208.875, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcqyw500283n6lcmqv13n0,2010,front,,Abnormal Gait,stroke,"{'top': 46.416666666666664, 'left': 209.5, 'height': 361.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
