seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwcrswx002c3n6lwn7iv6br,3477,back,,Abnormal Gait,stroke,"{'top': 34.0, 'left': 418.0, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3478,back,,Abnormal Gait,stroke,"{'top': 33.98979591836735, 'left': 417.3673469387755, 'height': 387.0, 'width': 201.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3479,back,,Abnormal Gait,stroke,"{'top': 33.97959183673469, 'left': 416.734693877551, 'height': 387.0, 'width': 200.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3480,back,,Abnormal Gait,stroke,"{'top': 33.96938775510204, 'left': 416.1020408163265, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3481,back,,Abnormal Gait,stroke,"{'top': 33.95918367346939, 'left': 415.46938775510205, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3482,back,,Abnormal Gait,stroke,"{'top': 33.94897959183673, 'left': 414.83673469387753, 'height': 387.0, 'width': 201.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3483,back,,Abnormal Gait,stroke,"{'top': 33.93877551020408, 'left': 414.2040816326531, 'height': 387.0, 'width': 200.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3484,back,,Abnormal Gait,stroke,"{'top': 33.92857142857143, 'left': 413.57142857142856, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3485,back,,Abnormal Gait,stroke,"{'top': 33.91836734693877, 'left': 412.9387755102041, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3486,back,,Abnormal Gait,stroke,"{'top': 33.90816326530612, 'left': 412.3061224489796, 'height': 387.0, 'width': 201.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3487,back,,Abnormal Gait,stroke,"{'top': 33.89795918367347, 'left': 411.6734693877551, 'height': 387.0, 'width': 200.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3488,back,,Abnormal Gait,stroke,"{'top': 33.88775510204081, 'left': 411.0408163265306, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3489,back,,Abnormal Gait,stroke,"{'top': 33.87755102040816, 'left': 410.40816326530614, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3490,back,,Abnormal Gait,stroke,"{'top': 33.86734693877551, 'left': 409.7755102040816, 'height': 387.0, 'width': 201.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3491,back,,Abnormal Gait,stroke,"{'top': 33.857142857142854, 'left': 409.14285714285717, 'height': 387.0, 'width': 200.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcrswx002c3n6lwn7iv6br,3492,back,,Abnormal Gait,stroke,"{'top': 33.8469387755102, 'left': 408.51020408163265, 'height': 387.0, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
