seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwcsw38002g3n6l088m4lb7,4986,front,,Abnormal Gait,stroke,"{'top': 69.0, 'left': 369.0, 'height': 208.0, 'width': 72.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4987,front,,Abnormal Gait,stroke,"{'top': 68.9746835443038, 'left': 368.50632911392404, 'height': 208.82278481012662, 'width': 72.82278481012662}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4988,front,,Abnormal Gait,stroke,"{'top': 68.9493670886076, 'left': 368.0126582278481, 'height': 209.64556962025316, 'width': 73.64556962025318}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4989,front,,Abnormal Gait,stroke,"{'top': 68.92405063291139, 'left': 367.5189873417722, 'height': 210.46835443037978, 'width': 74.46835443037975}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4990,front,,Abnormal Gait,stroke,"{'top': 68.89873417721519, 'left': 367.0253164556962, 'height': 211.2911392405063, 'width': 75.29113924050631}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4991,front,,Abnormal Gait,stroke,"{'top': 68.87341772151899, 'left': 366.53164556962025, 'height': 212.11392405063293, 'width': 76.11392405063293}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4992,front,,Abnormal Gait,stroke,"{'top': 68.84810126582279, 'left': 366.0379746835443, 'height': 212.9367088607595, 'width': 76.9367088607595}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4993,front,,Abnormal Gait,stroke,"{'top': 68.82278481012658, 'left': 365.54430379746833, 'height': 213.75949367088612, 'width': 77.75949367088612}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4994,front,,Abnormal Gait,stroke,"{'top': 68.79746835443038, 'left': 365.0506329113924, 'height': 214.58227848101265, 'width': 78.58227848101262}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcsw38002g3n6l088m4lb7,4995,front,,Abnormal Gait,stroke,"{'top': 68.77215189873418, 'left': 364.55696202531647, 'height': 215.40506329113924, 'width': 79.40506329113924}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
