seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwctrwx002k3n6lv7z0eodd,6535,back,,Abnormal Gait,stroke,"{'top': 52.0, 'left': 356.0, 'height': 371.0, 'width': 173.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6536,back,,Abnormal Gait,stroke,"{'top': 51.98550724637681, 'left': 356.18840579710144, 'height': 370.2463768115942, 'width': 172.88405797101456}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6537,back,,Abnormal Gait,stroke,"{'top': 51.971014492753625, 'left': 356.3768115942029, 'height': 369.4927536231884, 'width': 172.768115942029}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6538,back,,Abnormal Gait,stroke,"{'top': 51.95652173913044, 'left': 356.5652173913044, 'height': 368.7391304347826, 'width': 172.6521739130435}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6539,back,,Abnormal Gait,stroke,"{'top': 51.94202898550725, 'left': 356.7536231884058, 'height': 367.9855072463768, 'width': 172.53623188405794}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6540,back,,Abnormal Gait,stroke,"{'top': 51.927536231884055, 'left': 356.94202898550725, 'height': 367.231884057971, 'width': 172.4202898550725}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6541,back,,Abnormal Gait,stroke,"{'top': 51.91304347826087, 'left': 357.1304347826087, 'height': 366.4782608695652, 'width': 172.30434782608694}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6542,back,,Abnormal Gait,stroke,"{'top': 51.89855072463768, 'left': 357.3188405797101, 'height': 365.72463768115944, 'width': 172.1884057971015}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6543,back,,Abnormal Gait,stroke,"{'top': 51.88405797101449, 'left': 357.5072463768116, 'height': 364.9710144927536, 'width': 172.07246376811588}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwctrwx002k3n6lv7z0eodd,6544,back,,Abnormal Gait,stroke,"{'top': 51.869565217391305, 'left': 357.69565217391306, 'height': 364.2173913043478, 'width': 171.95652173913044}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
