seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwcvfg5002w3n6lo9eg0k8w,11290,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 162.0, 'height': 232.0, 'width': 110.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11291,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.875, 'height': 232.375, 'width': 110.91666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11292,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.75, 'height': 232.75, 'width': 111.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11293,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.625, 'height': 233.125, 'width': 112.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11294,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.5, 'height': 233.5, 'width': 113.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11295,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.375, 'height': 233.875, 'width': 114.58333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11296,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.25, 'height': 234.25, 'width': 115.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11297,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.125, 'height': 234.625, 'width': 116.41666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11298,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 161.0, 'height': 235.0, 'width': 117.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
cljwcvfg5002w3n6lo9eg0k8w,11299,front,,Abnormal Gait,stroke,"{'top': 65.0, 'left': 160.875, 'height': 235.375, 'width': 118.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",FpXbeLZWFSw,https://www.youtube.com/watch?v=FpXbeLZWFSw
