seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk6l5hsj002w3n6lrta6djle,3747,back,,Abnormal Gait,stroke,"{'top': 104.0, 'left': 231.0, 'height': 376.0, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3748,back,,Abnormal Gait,stroke,"{'top': 102.42105263157895, 'left': 229.52631578947367, 'height': 377.4736842105263, 'width': 156.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3749,back,,Abnormal Gait,stroke,"{'top': 100.84210526315789, 'left': 228.05263157894737, 'height': 378.9473684210526, 'width': 155.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3750,back,,Abnormal Gait,stroke,"{'top': 99.26315789473685, 'left': 226.57894736842104, 'height': 380.42105263157896, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3751,back,,Abnormal Gait,stroke,"{'top': 97.6842105263158, 'left': 225.10526315789474, 'height': 381.89473684210526, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3752,back,,Abnormal Gait,stroke,"{'top': 96.10526315789474, 'left': 223.6315789473684, 'height': 383.36842105263156, 'width': 156.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3753,back,,Abnormal Gait,stroke,"{'top': 94.52631578947368, 'left': 222.1578947368421, 'height': 384.84210526315786, 'width': 155.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3754,back,,Abnormal Gait,stroke,"{'top': 92.94736842105263, 'left': 220.68421052631578, 'height': 386.31578947368416, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3755,back,,Abnormal Gait,stroke,"{'top': 91.36842105263158, 'left': 219.21052631578948, 'height': 387.7894736842105, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3756,back,,Abnormal Gait,stroke,"{'top': 89.78947368421052, 'left': 217.73684210526315, 'height': 389.2631578947368, 'width': 156.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3757,back,,Abnormal Gait,stroke,"{'top': 88.21052631578948, 'left': 216.26315789473685, 'height': 390.7368421052632, 'width': 155.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3758,back,,Abnormal Gait,stroke,"{'top': 86.63157894736842, 'left': 214.78947368421052, 'height': 392.2105263157895, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3759,back,,Abnormal Gait,stroke,"{'top': 85.05263157894737, 'left': 213.31578947368422, 'height': 393.68421052631584, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
clk6l5hsj002w3n6lrta6djle,3760,back,,Abnormal Gait,stroke,"{'top': 83.47368421052632, 'left': 211.8421052631579, 'height': 395.15789473684214, 'width': 156.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Exqj0M000S8,https://www.youtube.com/watch?v=Exqj0M000S8
