seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
clk6lapp7003e3n6lnpqtai54,1,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.0, 'height': 313.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,2,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.1, 'height': 314.0, 'width': 129.79999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,3,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.2, 'height': 315.0, 'width': 132.60000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,4,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.3, 'height': 316.0, 'width': 135.39999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,5,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.4, 'height': 317.0, 'width': 138.20000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,6,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.5, 'height': 318.0, 'width': 141.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,7,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.6, 'height': 319.0, 'width': 143.79999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,8,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.7, 'height': 320.0, 'width': 146.60000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,9,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.8, 'height': 321.0, 'width': 149.39999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,10,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 191.9, 'height': 322.0, 'width': 152.20000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,11,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.0, 'height': 323.0, 'width': 155.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,12,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.13333333333333, 'height': 323.1111111111111, 'width': 155.3777777777778}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,13,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.26666666666668, 'height': 323.22222222222223, 'width': 155.75555555555556}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,14,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.4, 'height': 323.3333333333333, 'width': 156.13333333333335}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,15,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.53333333333333, 'height': 323.44444444444446, 'width': 156.5111111111111}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,16,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.66666666666666, 'height': 323.55555555555554, 'width': 156.88888888888889}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,17,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.8, 'height': 323.6666666666667, 'width': 157.26666666666665}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,18,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 192.93333333333334, 'height': 323.77777777777777, 'width': 157.64444444444445}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,19,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.06666666666666, 'height': 323.8888888888889, 'width': 158.02222222222224}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,20,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.2, 'height': 324.0, 'width': 158.40000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,21,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.33333333333334, 'height': 324.1111111111111, 'width': 158.77777777777774}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,22,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.46666666666667, 'height': 324.22222222222223, 'width': 159.15555555555554}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,23,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.6, 'height': 324.3333333333333, 'width': 159.53333333333333}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,24,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.73333333333332, 'height': 324.44444444444446, 'width': 159.91111111111113}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,25,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 193.86666666666667, 'height': 324.55555555555554, 'width': 160.2888888888889}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,26,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.0, 'height': 324.6666666666667, 'width': 160.66666666666669}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,27,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.13333333333333, 'height': 324.77777777777777, 'width': 161.04444444444448}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,28,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.26666666666668, 'height': 324.8888888888889, 'width': 161.4222222222222}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,29,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.4, 'height': 325.0, 'width': 161.79999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,30,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.53333333333333, 'height': 325.1111111111111, 'width': 162.17777777777778}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,31,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.66666666666666, 'height': 325.22222222222223, 'width': 162.55555555555557}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,32,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.8, 'height': 325.3333333333333, 'width': 162.93333333333334}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,33,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 194.93333333333334, 'height': 325.44444444444446, 'width': 163.31111111111113}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,34,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 195.06666666666666, 'height': 325.55555555555554, 'width': 163.68888888888887}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,35,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 195.2, 'height': 325.6666666666667, 'width': 164.06666666666666}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,36,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 195.33333333333334, 'height': 325.77777777777777, 'width': 164.44444444444443}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,37,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 195.46666666666667, 'height': 325.8888888888889, 'width': 164.82222222222222}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
clk6lapp7003e3n6lnpqtai54,38,right side,,Abnormal Gait,stroke,"{'top': 32.0, 'left': 195.6, 'height': 326.0, 'width': 165.20000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",fbY4O04uunE,https://www.youtube.com/watch?v=fbY4O04uunE
