seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7qnc53007b3o6l18kjlo9h,626,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 22.0, 'height': 431.0, 'width': 175.0}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,627,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 21.42105263157895, 'height': 431.3421052631579, 'width': 176.26315789473682}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,628,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 20.842105263157894, 'height': 431.6842105263158, 'width': 177.5263157894737}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,629,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 20.263157894736842, 'height': 432.0263157894737, 'width': 178.78947368421052}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,630,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 19.684210526315788, 'height': 432.36842105263156, 'width': 180.05263157894737}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,631,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 19.105263157894736, 'height': 432.7105263157895, 'width': 181.31578947368422}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,632,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 18.526315789473685, 'height': 433.05263157894734, 'width': 182.57894736842104}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,633,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 17.94736842105263, 'height': 433.39473684210526, 'width': 183.8421052631579}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,634,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 17.36842105263158, 'height': 433.7368421052632, 'width': 185.1052631578947}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
cll7qnc53007b3o6l18kjlo9h,635,left side,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 16.789473684210527, 'height': 434.07894736842104, 'width': 186.3684210526316}","{'height': 480, 'width': 272, 'mime_type': 'video/mp4'}",mu00TaRG7VU,https://www.youtube.com/watch?v=mu00TaRG7VU
