seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8xy0z3000d3o6l0tu8ne8b,474,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 345.0, 'width': 193.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,475,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 346.75, 'width': 196.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,476,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 348.5, 'width': 200.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,477,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 350.25, 'width': 203.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,478,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 352.0, 'width': 207.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,479,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 353.75, 'width': 210.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,480,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 355.5, 'width': 214.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,481,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 357.25, 'width': 217.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,482,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 219.0, 'height': 359.0, 'width': 221.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,483,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 218.08333333333334, 'height': 358.9166666666667, 'width': 221.74999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,484,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 217.16666666666666, 'height': 358.8333333333333, 'width': 222.50000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,485,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 216.25, 'height': 358.75, 'width': 223.25}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,486,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 215.33333333333334, 'height': 358.6666666666667, 'width': 223.99999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,487,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 214.41666666666666, 'height': 358.5833333333333, 'width': 224.75000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,488,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 213.5, 'height': 358.5, 'width': 225.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,489,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 212.58333333333334, 'height': 358.4166666666667, 'width': 226.24999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,490,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 211.66666666666666, 'height': 358.3333333333333, 'width': 227.00000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,491,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 210.75, 'height': 358.25, 'width': 227.75}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,492,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 209.83333333333334, 'height': 358.1666666666667, 'width': 228.49999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,493,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 208.91666666666666, 'height': 358.0833333333333, 'width': 229.25000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,494,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 208.0, 'height': 358.0, 'width': 230.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,495,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 207.08333333333334, 'height': 357.9166666666667, 'width': 230.74999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,496,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 206.16666666666666, 'height': 357.8333333333333, 'width': 231.50000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,497,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 205.25, 'height': 357.75, 'width': 232.25}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,498,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 204.33333333333334, 'height': 357.6666666666667, 'width': 232.99999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,499,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 203.41666666666666, 'height': 357.5833333333333, 'width': 233.75000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,500,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 202.5, 'height': 357.5, 'width': 234.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,501,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 201.58333333333334, 'height': 357.4166666666667, 'width': 235.24999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,502,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 200.66666666666666, 'height': 357.3333333333333, 'width': 236.00000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,503,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 199.75, 'height': 357.25, 'width': 236.75}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,504,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 198.83333333333334, 'height': 357.1666666666667, 'width': 237.49999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,505,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.91666666666666, 'height': 357.0833333333333, 'width': 238.25000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,506,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.0, 'height': 357.0, 'width': 239.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,507,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.1456953642384, 'height': 356.9205298013245, 'width': 238.6953642384106}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,508,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.2913907284768, 'height': 356.841059602649, 'width': 238.3907284768212}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,509,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.43708609271522, 'height': 356.7615894039735, 'width': 238.0860927152318}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,510,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.58278145695365, 'height': 356.682119205298, 'width': 237.7814569536424}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,511,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.72847682119206, 'height': 356.6026490066225, 'width': 237.476821192053}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,512,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 197.87417218543047, 'height': 356.52317880794703, 'width': 237.1721854304636}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
cll8xy0z3000d3o6l0tu8ne8b,513,front,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 198.01986754966887, 'height': 356.44370860927154, 'width': 236.86754966887415}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",sp89jxy3vp8,https://www.youtube.com/watch?v=sp89jxy3vp8
