seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllamcout001v3o6lx51e4fcu,470,front,,Abnormal Gait,stroke,"{'top': 28.0, 'left': 358.0, 'height': 435.0, 'width': 239.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,471,front,,Abnormal Gait,stroke,"{'top': 27.928571428571427, 'left': 356.64285714285717, 'height': 435.60714285714283, 'width': 240.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,472,front,,Abnormal Gait,stroke,"{'top': 27.857142857142858, 'left': 355.2857142857143, 'height': 436.2142857142857, 'width': 243.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,473,front,,Abnormal Gait,stroke,"{'top': 27.785714285714285, 'left': 353.92857142857144, 'height': 436.82142857142856, 'width': 245.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,474,front,,Abnormal Gait,stroke,"{'top': 27.714285714285715, 'left': 352.57142857142856, 'height': 437.42857142857144, 'width': 247.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,475,front,,Abnormal Gait,stroke,"{'top': 27.642857142857142, 'left': 351.2142857142857, 'height': 438.0357142857143, 'width': 248.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,476,front,,Abnormal Gait,stroke,"{'top': 27.571428571428573, 'left': 349.85714285714283, 'height': 438.64285714285717, 'width': 251.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,477,front,,Abnormal Gait,stroke,"{'top': 27.5, 'left': 348.5, 'height': 439.25, 'width': 253.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,478,front,,Abnormal Gait,stroke,"{'top': 27.428571428571427, 'left': 347.14285714285717, 'height': 439.85714285714283, 'width': 254.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,479,front,,Abnormal Gait,stroke,"{'top': 27.357142857142858, 'left': 345.7857142857143, 'height': 440.4642857142857, 'width': 257.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
cllamcout001v3o6lx51e4fcu,480,front,,Abnormal Gait,stroke,"{'top': 27.285714285714285, 'left': 344.42857142857144, 'height': 441.07142857142856, 'width': 259.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",yk6iSZuuk24,https://www.youtube.com/watch?v=yk6iSZuuk24
