seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllampv8c003p3o6l2k0e60tp,471,back,,Abnormal Gait,stroke,"{'top': 0.0, 'left': 420.0, 'height': 467.0, 'width': 215.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,472,back,,Abnormal Gait,stroke,"{'top': 1.0, 'left': 399.0, 'height': 479.0, 'width': 235.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,473,back,,Abnormal Gait,stroke,"{'top': 0.9333333333333331, 'left': 397.8, 'height': 479.06666666666666, 'width': 235.06666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,474,back,,Abnormal Gait,stroke,"{'top': 0.866666666666666, 'left': 396.6, 'height': 479.1333333333333, 'width': 235.13333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,475,back,,Abnormal Gait,stroke,"{'top': 0.8, 'left': 395.4, 'height': 479.2, 'width': 235.20000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,476,back,,Abnormal Gait,stroke,"{'top': 0.7333333333333331, 'left': 394.2, 'height': 479.26666666666665, 'width': 235.2666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,477,back,,Abnormal Gait,stroke,"{'top': 0.6666666666666661, 'left': 393.0, 'height': 479.3333333333333, 'width': 235.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,478,back,,Abnormal Gait,stroke,"{'top': 0.6000000000000001, 'left': 391.8, 'height': 479.4, 'width': 235.40000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,479,back,,Abnormal Gait,stroke,"{'top': 0.533333333333333, 'left': 390.6, 'height': 479.46666666666664, 'width': 235.4666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,480,back,,Abnormal Gait,stroke,"{'top': 0.46666666666666606, 'left': 389.4, 'height': 479.53333333333336, 'width': 235.5333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,481,back,,Abnormal Gait,stroke,"{'top': 0.4, 'left': 388.2, 'height': 479.6, 'width': 235.59999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,482,back,,Abnormal Gait,stroke,"{'top': 0.33333333333333304, 'left': 387.0, 'height': 479.6666666666667, 'width': 235.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,483,back,,Abnormal Gait,stroke,"{'top': 0.266666666666666, 'left': 385.8, 'height': 479.73333333333335, 'width': 235.7333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
cllampv8c003p3o6l2k0e60tp,484,back,,Abnormal Gait,stroke,"{'top': 0.199999999999999, 'left': 384.6, 'height': 479.8, 'width': 235.79999999999995}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Z_SEzAFi6-s,https://www.youtube.com/watch?v=Z_SEzAFi6-s
