seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllcybkmj001p3o6le6i3k02f,6133,front,,Abnormal Gait,stroke,"{'top': 35.0, 'left': 202.0, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6134,front,,Abnormal Gait,stroke,"{'top': 34.72941176470588, 'left': 202.51764705882354, 'height': 445.0, 'width': 213.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6135,front,,Abnormal Gait,stroke,"{'top': 34.45882352941177, 'left': 203.03529411764706, 'height': 445.0, 'width': 214.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6136,front,,Abnormal Gait,stroke,"{'top': 34.188235294117646, 'left': 203.5529411764706, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6137,front,,Abnormal Gait,stroke,"{'top': 33.917647058823526, 'left': 204.0705882352941, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6138,front,,Abnormal Gait,stroke,"{'top': 33.64705882352941, 'left': 204.58823529411765, 'height': 445.0, 'width': 213.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6139,front,,Abnormal Gait,stroke,"{'top': 33.37647058823529, 'left': 205.10588235294117, 'height': 445.0, 'width': 214.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6140,front,,Abnormal Gait,stroke,"{'top': 33.10588235294118, 'left': 205.6235294117647, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6141,front,,Abnormal Gait,stroke,"{'top': 32.83529411764706, 'left': 206.14117647058822, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6142,front,,Abnormal Gait,stroke,"{'top': 32.56470588235294, 'left': 206.65882352941176, 'height': 445.0, 'width': 214.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6143,front,,Abnormal Gait,stroke,"{'top': 32.294117647058826, 'left': 207.1764705882353, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6144,front,,Abnormal Gait,stroke,"{'top': 32.023529411764706, 'left': 207.69411764705882, 'height': 445.0, 'width': 214.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
cllcybkmj001p3o6le6i3k02f,6145,front,,Abnormal Gait,stroke,"{'top': 31.75294117647059, 'left': 208.21176470588236, 'height': 445.0, 'width': 213.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",sChOLBghpAc,https://www.youtube.com/watch?v=sChOLBghpAc
