sequence_id,video_id,cohort,neurologic_observed_fraction
cljxiakgy006s3n6lnv6bs294,JD1AGVpftps,canonical_normal,0.3177083333333333
cljxib3tw006w3n6librdqi7p,JD1AGVpftps,canonical_normal,0.3606770833333333
cljxibqo100703n6lt6hgcqi4,JD1AGVpftps,canonical_normal,0.2734375
cljxiccu300743n6lmy70fnrb,JD1AGVpftps,canonical_normal,0.0
cljxicsda00783n6lzoxzdb0r,JD1AGVpftps,canonical_normal,0.015625
cljxid694007c3n6l2mwpxjbt,JD1AGVpftps,canonical_normal,0.0
cljxidr5v007g3n6l7sp6espk,JD1AGVpftps,canonical_normal,0.1171875
cljxlvf5h003a3n6lqssm40es,2LbERGI34lA,canonical_normal,0.0
cljxlvp0c003e3n6lhbqb87qc,2LbERGI34lA,canonical_normal,0.18619791666666666
cljxlw9dn003i3n6l27b3p6y1,2LbERGI34lA,canonical_normal,0.18489583333333334
cljxlwvyd003n3n6ljo58d6s9,2LbERGI34lA,canonical_normal,0.07291666666666667
cllc0qhax002m3o6ltjkzvput,hSIYGZhRGd4,canonical_normal,0.48828125
cllendz0h001t3o6lkl4rhklc,KnvYRnTA3XQ,canonical_normal,0.4127604166666667
cllenh9d100253o6lu2fyb0jk,KnvYRnTA3XQ,canonical_normal,0.14973958333333334
