sequence_id,video_id,cohort,neurologic_observed_fraction
cljo2wwu7001a3n6ljmqm39l6,3KnFt8bH3tE,canonical_normal,0.98046875
cljo2y1f7001e3n6lt1wgacw6,3KnFt8bH3tE,canonical_normal,1.0
cljo2yqzp001i3n6lg75p7wtq,3KnFt8bH3tE,canonical_normal,0.9830729166666666
cljo2zn41001m3n6lhbvww48i,3KnFt8bH3tE,canonical_normal,1.0
cljo30lnz001q3n6lopfty7q5,3KnFt8bH3tE,canonical_normal,0.94921875
cljo32213001u3n6lel97up5f,3KnFt8bH3tE,canonical_normal,1.0
cljo32ik2001y3n6lmmnu0sgo,3KnFt8bH3tE,canonical_normal,1.0
cljo32xnz00223n6lvxzyif3y,3KnFt8bH3tE,canonical_normal,1.0
cljo33m8400263n6l4xxsl6ku,3KnFt8bH3tE,canonical_normal,1.0
cljo340cm002a3n6low42ugvh,3KnFt8bH3tE,canonical_normal,0.9973958333333334
cljo39ok9002h3n6ldr0w5sey,3KnFt8bH3tE,canonical_normal,0.9869791666666666
cljo3b2dy002l3n6l270vpzp8,3KnFt8bH3tE,canonical_normal,1.0
cljvx07sw003h3n6ltdmixplw,aqUuTLh6pHk,canonical_normal,1.0
cljvx1c3b003l3n6l6e7onq3z,aqUuTLh6pHk,canonical_normal,1.0
cljwrju1q002k3n6locdj52a9,mBAxLr73IHU,canonical_normal,1.0
cljwrkef8002o3n6lp21lyyik,mBAxLr73IHU,canonical_normal,0.984375
cljwrl5sp002s3n6l9f979pew,mBAxLr73IHU,canonical_normal,1.0
cljwrljou002w3n6ld0cnkyyv,mBAxLr73IHU,canonical_normal,1.0
cljwrm2hl00303n6lmj6myxp0,mBAxLr73IHU,canonical_normal,1.0
cljwsw2aj000n3n6l8leupj5h,vUM4OwTQk34,canonical_normal,1.0
cljwswmbz000r3n6lijh3r47s,vUM4OwTQk34,canonical_normal,0.9817708333333334
cljwswza1000v3n6lfl03wwes,vUM4OwTQk34,canonical_normal,0.9609375
cljwsxudc000z3n6l8eoon4wq,vUM4OwTQk34,canonical_normal,0.98046875
cljwsyscb00133n6lj5h5v9v1,vUM4OwTQk34,canonical_normal,1.0
cljwszgu800183n6lv2aev7fd,vUM4OwTQk34,canonical_normal,0.984375
