target,lane,r2,mae,n
cadence,A_pooled_384,0.10624307884938511,22.261750331639153,578
cadence,B_moment_384,0.11506151958544186,22.171278559912107,578
cadence,C_bins_384,0.14130571346714382,21.818573767317183,578
cadence,D_attn_384,-0.09346548591356485,24.370975690265062,578
cadence,A_untrained,0.065170864323977,22.88680444210591,578
cadence,B_untrained,0.05248723871241401,22.97745458916007,578
cadence,raw_kinematic,0.05697103328291886,23.007388028236072,578
cadence,missingness_only,0.08978709022455345,22.57645603250622,578
stride_time,A_pooled_384,0.1661791927752082,0.16164760866156114,578
stride_time,B_moment_384,0.16619032743730078,0.16139235801782004,578
stride_time,C_bins_384,0.16699478621817732,0.16057517307384944,578
stride_time,D_attn_384,0.11500882264838141,0.16032899059278943,578
stride_time,A_untrained,0.10729146677574175,0.16698813854950406,578
stride_time,B_untrained,0.07635588382007996,0.1706705580411768,578
stride_time,raw_kinematic,0.07209748758412937,0.17237409960578298,578
stride_time,missingness_only,0.07338942963569417,0.16928408332162223,578
peak_phase,A_pooled_384,0.3729236443058537,0.22137827598121002,626
peak_phase,B_moment_384,0.4166353854558972,0.21255247964671797,626
peak_phase,C_bins_384,0.38614362711641315,0.21769141323355337,626
peak_phase,D_attn_384,0.392464301429986,0.21669542631044847,626
peak_phase,A_untrained,0.3957119584518496,0.21376803148353757,626
peak_phase,B_untrained,0.4672733962733565,0.1960484773142397,626
peak_phase,raw_kinematic,0.263291404450573,0.24415714953200082,626
peak_phase,missingness_only,0.08224993067094344,0.2800917565884556,626
phase_lag,A_pooled_384,-0.0399863425600413,0.22722423438950007,626
phase_lag,B_moment_384,-0.06140769511360733,0.2316058964789325,626
phase_lag,C_bins_384,-0.031202869735819316,0.2285030051046681,626
phase_lag,D_attn_384,-0.04189809994844551,0.2273271131806088,626
phase_lag,A_untrained,-0.04255966408985712,0.22762443878421834,626
phase_lag,B_untrained,-0.04554045961533304,0.22836842953917127,626
phase_lag,raw_kinematic,-0.04061284471170934,0.21978352472027848,626
phase_lag,missingness_only,-0.020678940691830183,0.2193052112788312,626
energy_ratio,A_pooled_384,0.4007782019280237,0.2694848707809398,539
energy_ratio,B_moment_384,0.5273303089683274,0.2446098283939401,539
energy_ratio,C_bins_384,0.5263603357034787,0.24430489385408105,539
energy_ratio,D_attn_384,0.3623321262784712,0.27581911293604766,539
energy_ratio,A_untrained,0.4587669452171209,0.25462328821071933,539
energy_ratio,B_untrained,0.618146997749486,0.21949983175563997,539
energy_ratio,raw_kinematic,0.25561282743281954,0.2971463635551545,539
energy_ratio,missingness_only,0.19726753379226847,0.3083077429464096,539
