seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url,youtube_video_id
aug-WpARylM4UYU-w00,1,left side,,Abnormal Gait,normal,"{'top': 287.227783203125, 'left': 372.23712158203125, 'height': 750.8411254882812, 'width': 244.21514892578125}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,2,left side,,Abnormal Gait,normal,"{'top': 287.26751708984375, 'left': 372.1266174316406, 'height': 750.6511840820312, 'width': 244.60244750976562}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,3,left side,,Abnormal Gait,normal,"{'top': 287.3072814941406, 'left': 372.01611328125, 'height': 750.4612426757812, 'width': 244.98973083496094}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,4,left side,,Abnormal Gait,normal,"{'top': 287.5582275390625, 'left': 371.80450439453125, 'height': 749.6644287109375, 'width': 244.98973083496094}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,5,left side,,Abnormal Gait,normal,"{'top': 287.6051025390625, 'left': 371.0852966308594, 'height': 746.6476440429688, 'width': 244.98973083496094}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,6,left side,,Abnormal Gait,normal,"{'top': 288.0731201171875, 'left': 371.80450439453125, 'height': 746.6476440429688, 'width': 242.84524536132812}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,7,left side,,Abnormal Gait,normal,"{'top': 288.0731201171875, 'left': 371.29949951171875, 'height': 746.6476440429688, 'width': 241.8915557861328}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,8,left side,,Abnormal Gait,normal,"{'top': 288.4600524902344, 'left': 371.29949951171875, 'height': 747.2384643554688, 'width': 241.2168426513672}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,9,left side,,Abnormal Gait,normal,"{'top': 288.484375, 'left': 371.29949951171875, 'height': 748.0546264648438, 'width': 239.5426025390625}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
aug-WpARylM4UYU-w00,10,left side,,Abnormal Gait,normal,"{'top': 288.93365478515625, 'left': 371.29949951171875, 'height': 748.0546264648438, 'width': 239.5426025390625}","{'height': 1920, 'width': 1080, 'mime_type': 'video/mp4'}",WpARylM4UYU,https://www.youtube.com/watch?v=WpARylM4UYU,WpARylM4UYU
