seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url,youtube_video_id
aug-gp4H7Z2Vvn0_clip-02-w03,187,left side,,Abnormal Gait,normal,"{'top': 151.9235076904297, 'left': 0.0, 'height': 163.494873046875, 'width': 62.58396530151367}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,188,left side,,Abnormal Gait,normal,"{'top': 150.27989196777344, 'left': 0.0, 'height': 166.6927032470703, 'width': 62.58396530151367}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,189,left side,,Abnormal Gait,normal,"{'top': 149.40516662597656, 'left': 0.0, 'height': 166.9926300048828, 'width': 61.88669967651367}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,190,left side,,Abnormal Gait,normal,"{'top': 147.99281311035156, 'left': 0.0, 'height': 167.2358856201172, 'width': 63.5545768737793}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,191,left side,,Abnormal Gait,normal,"{'top': 146.4174346923828, 'left': 0.0, 'height': 169.66969299316406, 'width': 62.21073913574219}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,192,left side,,Abnormal Gait,normal,"{'top': 145.0304412841797, 'left': 0.0, 'height': 170.07156372070312, 'width': 62.21073913574219}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,193,left side,,Abnormal Gait,normal,"{'top': 144.36875915527344, 'left': 1.0936651229858398, 'height': 171.32333374023438, 'width': 62.21073913574219}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,194,left side,,Abnormal Gait,normal,"{'top': 143.56790161132812, 'left': 3.5221781730651855, 'height': 173.15699768066406, 'width': 62.21073913574219}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,195,left side,,Abnormal Gait,normal,"{'top': 142.0709991455078, 'left': 7.779958248138428, 'height': 173.15699768066406, 'width': 60.041282653808594}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
aug-gp4H7Z2Vvn0_clip-02-w03,196,left side,,Abnormal Gait,normal,"{'top': 140.18820190429688, 'left': 11.252250671386719, 'height': 174.27676391601562, 'width': 58.411521911621094}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0_clip-02,https://www.youtube.com/watch?v=gp4H7Z2Vvn0,gp4H7Z2Vvn0
