method,seed,records,reference_eligible,successful,failed,success_percent
I-initialized-none-base,17,55800,55800,55621,179,99.6792114695
I-initialized-none-base,29,55800,55800,55575,225,99.5967741935
I-initialized-none-base,43,55800,55800,55568,232,99.5842293907
I-initialized-none-paired_change,17,55800,55800,55565,235,99.5788530466
I-initialized-none-paired_change,29,55800,55800,55481,319,99.4283154122
I-initialized-none-paired_change,43,55800,55800,55549,251,99.5501792115
I-shuffled_jepa-graph_time-base,17,55800,55800,55620,180,99.6774193548
I-shuffled_jepa-graph_time-base,29,55800,55800,55600,200,99.6415770609
I-shuffled_jepa-graph_time-base,43,55800,55800,55606,194,99.6523297491
I-shuffled_jepa-graph_time-paired_change,17,55800,55800,55497,303,99.4569892473
I-shuffled_jepa-graph_time-paired_change,29,55800,55800,55359,441,99.2096774194
I-shuffled_jepa-graph_time-paired_change,43,55800,55800,55478,322,99.4229390681
M-coordinate-graph_time-base,17,55800,55800,55496,304,99.4551971326
M-coordinate-graph_time-base,29,55800,55800,55585,215,99.6146953405
M-coordinate-graph_time-base,43,55800,55800,55563,237,99.5752688172
M-coordinate-graph_time-paired_change,17,55800,55800,55358,442,99.2078853047
M-coordinate-graph_time-paired_change,29,55800,55800,55531,269,99.517921147
M-coordinate-graph_time-paired_change,43,55800,55800,55464,336,99.3978494624
M-paired_jepa-graph_time-base,17,55800,55800,55503,297,99.4677419355
M-paired_jepa-graph_time-base,29,55800,55800,55506,294,99.4731182796
M-paired_jepa-graph_time-base,43,55800,55800,55498,302,99.458781362
M-paired_jepa-graph_time-paired_change,17,55800,55800,55513,287,99.4856630824
M-paired_jepa-graph_time-paired_change,29,55800,55800,55538,262,99.5304659498
M-paired_jepa-graph_time-paired_change,43,55800,55800,55625,175,99.6863799283
P-direct-none-base,17,55800,55800,55676,124,99.7777777778
P-direct-none-base,29,55800,55800,55642,158,99.7168458781
P-direct-none-base,43,55800,55800,55658,142,99.7455197133
P-direct-none-paired_change,17,55800,55800,55424,376,99.3261648746
P-direct-none-paired_change,29,55800,55800,55505,295,99.4713261649
P-direct-none-paired_change,43,55800,55800,55474,326,99.4157706093
filter0,17,55800,55800,55386,414,99.2580645161
filter0,29,55800,55800,55386,414,99.2580645161
filter0,43,55800,55800,55386,414,99.2580645161
filter1,17,55800,55800,55259,541,99.0304659498
filter1,29,55800,55800,55259,541,99.0304659498
filter1,43,55800,55800,55259,541,99.0304659498
filter2,17,55800,55800,55467,333,99.4032258065
filter2,29,55800,55800,55467,333,99.4032258065
filter2,43,55800,55800,55467,333,99.4032258065
joint_affine,17,55800,55800,55422,378,99.3225806452
joint_affine,29,55800,55800,55422,378,99.3225806452
joint_affine,43,55800,55800,55422,378,99.3225806452
joint_offset,17,55800,55800,55566,234,99.5806451613
joint_offset,29,55800,55800,55566,234,99.5806451613
joint_offset,43,55800,55800,55566,234,99.5806451613
unchanged,17,55800,55800,55386,414,99.2580645161
unchanged,29,55800,55800,55386,414,99.2580645161
unchanged,43,55800,55800,55386,414,99.2580645161
