method,records,reference_eligible,successful,failed,success_percent
I-initialized-none-base,167400,167400,166764,636,99.6200716846
I-initialized-none-paired_change,167400,167400,166595,805,99.5191158901
I-shuffled_jepa-graph_time-base,167400,167400,166826,574,99.6571087216
I-shuffled_jepa-graph_time-paired_change,167400,167400,166334,1066,99.3632019116
M-coordinate-graph_time-base,167400,167400,166644,756,99.5483870968
M-coordinate-graph_time-paired_change,167400,167400,166353,1047,99.3745519713
M-paired_jepa-graph_time-base,167400,167400,166507,893,99.4665471924
M-paired_jepa-graph_time-paired_change,167400,167400,166676,724,99.5675029869
P-direct-none-base,167400,167400,166976,424,99.7467144564
P-direct-none-paired_change,167400,167400,166403,997,99.4044205496
filter0,167400,167400,166158,1242,99.2580645161
filter1,167400,167400,165777,1623,99.0304659498
filter2,167400,167400,166401,999,99.4032258065
joint_affine,167400,167400,166266,1134,99.3225806452
joint_offset,167400,167400,166698,702,99.5806451613
unchanged,167400,167400,166158,1242,99.2580645161
