,role,method,privileged,n_people,n_cases,observed_mse_m2,noise_removal,retention,signed_event_error,descriptor_signed_error,affected_mse_m2,unaffected_mse_m2,completion_mse_m2
2,calibration,bridge_projected,False,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,2.018051e-06
10,calibration,bridge_unprojected,False,8,8,0.000026,NaN,NaN,NaN,0.000094,NaN,0.000026,1.187259e-05
18,calibration,gaussian_projected,False,8,8,0.000049,NaN,NaN,NaN,-0.005818,NaN,0.000049,1.813134e-06
26,calibration,gaussian_unprojected,False,8,8,0.000036,NaN,NaN,NaN,-0.005449,NaN,0.000036,1.819881e-07
34,calibration,legacy_prior_strength0,False,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,1.254262e-03
42,calibration,median_projected,False,8,8,0.000061,NaN,NaN,NaN,-0.001963,NaN,0.000061,1.994184e-06
50,calibration,median_unprojected,False,8,8,0.000047,NaN,NaN,NaN,-0.006540,NaN,0.000047,1.692456e-07
58,calibration,oracle_mixture_projected,True,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,2.079251e-06
66,calibration,oracle_mixture_unprojected,True,8,8,0.000000,NaN,NaN,NaN,0.000000,NaN,0.000000,1.310216e-07
74,calibration,prior_projected,False,8,8,0.016772,NaN,NaN,NaN,0.010484,NaN,0.016772,1.373635e-03
82,calibration,prior_unprojected,False,8,8,0.016720,NaN,NaN,NaN,0.010240,NaN,0.016720,1.361600e-03
90,calibration,projected_raw,False,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,2.018056e-06
98,calibration,raw,False,8,8,0.000000,NaN,NaN,NaN,0.000000,NaN,0.000000,1.470599e-07
106,calibration,raw_projected_reference_lengths,True,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,2.018821e-06
114,calibration,truth_projected_observed_lengths,True,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,2.366979e-06
122,calibration,truth_projected_reference_lengths,True,8,8,0.000013,NaN,NaN,NaN,0.000372,NaN,0.000013,2.368465e-06
130,development,bridge_projected,False,8,8,0.000011,NaN,NaN,NaN,0.005203,NaN,0.000011,1.574713e-04
138,development,bridge_unprojected,False,8,8,0.000023,NaN,NaN,NaN,0.005359,NaN,0.000023,2.338981e-04
146,development,gaussian_projected,False,8,8,0.000098,NaN,NaN,NaN,-0.001982,NaN,0.000098,1.051772e-04
154,development,gaussian_unprojected,False,8,8,0.000090,NaN,NaN,NaN,-0.005508,NaN,0.000090,2.978592e-05
162,development,legacy_prior_strength0,False,8,8,0.000011,NaN,NaN,NaN,0.005708,NaN,0.000011,3.432181e-03
170,development,median_projected,False,8,8,0.000122,NaN,NaN,NaN,-0.001294,NaN,0.000122,1.276869e-04
178,development,median_unprojected,False,8,8,0.000111,NaN,NaN,NaN,-0.008469,NaN,0.000111,3.010906e-05
186,development,oracle_mixture_projected,True,8,8,0.000011,NaN,NaN,NaN,0.005203,NaN,0.000011,1.574749e-04
194,development,oracle_mixture_unprojected,True,8,8,0.000000,NaN,NaN,NaN,0.000000,NaN,0.000000,2.601329e-05
202,development,prior_projected,False,8,8,0.002698,NaN,NaN,NaN,0.006645,NaN,0.002698,3.630762e-03
210,development,prior_unprojected,False,8,8,0.002688,NaN,NaN,NaN,0.006796,NaN,0.002688,3.636525e-03
218,development,projected_raw,False,8,8,0.000011,NaN,NaN,NaN,0.005203,NaN,0.000011,1.574749e-04
226,development,raw,False,8,8,0.000000,NaN,NaN,NaN,0.000000,NaN,0.000000,2.601329e-05
234,development,raw_projected_reference_lengths,True,8,8,0.000011,NaN,NaN,NaN,0.005204,NaN,0.000011,1.574179e-04
242,development,truth_projected_observed_lengths,True,8,8,0.000011,NaN,NaN,NaN,0.005203,NaN,0.000011,7.869259e-05
250,development,truth_projected_reference_lengths,True,8,8,0.000011,NaN,NaN,NaN,0.005204,NaN,0.000011,7.862008e-05
