method,extractor,seed,eligible_records,records,matched,reference,predicted,extra,missed,precision,recall,conditional_timing_mae_s
coordinate,hrnet_w32,17,4,16,12,12,47,35,0,0.2553191489361702,1.0,0.0266666666666661
coordinate,rtmpose_m,17,4,16,12,12,28,16,0,0.42857142857142855,1.0,0.0233333333333333
coordinate,vitpose_base,17,4,16,12,12,18,6,0,0.6666666666666666,1.0,0.03666666666666627
direct,hrnet_w32,17,4,16,12,12,48,36,0,0.25,1.0,0.02999999999999962
direct,rtmpose_m,17,4,16,12,12,29,17,0,0.41379310344827586,1.0,0.0166666666666665
direct,vitpose_base,17,4,16,12,12,19,7,0,0.631578947368421,1.0,0.02999999999999975
initialized,hrnet_w32,17,4,16,12,12,49,37,0,0.24489795918367346,1.0,0.0266666666666661
initialized,rtmpose_m,17,4,16,11,12,26,15,1,0.4230769230769231,0.9166666666666666,0.021818181818181775
initialized,vitpose_base,17,4,16,12,12,17,5,0,0.7058823529411765,1.0,0.03666666666666627
joint_affine,hrnet_w32,17,4,16,12,12,39,27,0,0.3076923076923077,1.0,0.02666666666666635
joint_affine,rtmpose_m,17,4,16,10,12,21,11,2,0.47619047619047616,0.8333333333333334,0.01599999999999981
joint_affine,vitpose_base,17,4,16,11,12,17,6,1,0.6470588235294118,0.9166666666666666,0.036363636363636105
joint_offset,hrnet_w32,17,4,16,11,12,33,22,1,0.3333333333333333,0.9166666666666666,0.036363636363636494
joint_offset,rtmpose_m,17,4,16,11,12,17,6,1,0.6470588235294118,0.9166666666666666,0.02909090909090897
joint_offset,vitpose_base,17,4,16,11,12,16,5,1,0.6875,0.9166666666666666,0.054545454545454224
paired_jepa,hrnet_w32,17,4,16,12,12,44,32,0,0.2727272727272727,1.0,0.0333333333333329
paired_jepa,rtmpose_m,17,4,16,11,12,26,15,1,0.4230769230769231,0.9166666666666666,0.021818181818181775
paired_jepa,vitpose_base,17,4,16,11,12,21,10,1,0.5238095238095238,0.9166666666666666,0.021818181818181646
reference_oracle,hrnet_w32,17,4,16,12,12,12,0,0,1.0,1.0,0.0
reference_oracle,rtmpose_m,17,4,16,12,12,12,0,0,1.0,1.0,0.0
reference_oracle,vitpose_base,17,4,16,12,12,12,0,0,1.0,1.0,0.0
unchanged,hrnet_w32,17,4,16,11,12,31,20,1,0.3548387096774194,0.9166666666666666,0.04363636363636326
unchanged,rtmpose_m,17,4,16,9,12,15,6,3,0.6,0.75,0.02666666666666657
unchanged,vitpose_base,17,4,16,11,12,18,7,1,0.6111111111111112,0.9166666666666666,0.054545454545454224
