method,split,seed,extractor,evidence_status,metric,value,endpoint,scale_policy,condition,rank
coordinate,development,17,hrnet_w32,automated-source-screen,visible_nle,0.01794118706984954,all_valid_synthetic,frame_reference,all_conditions,3.0
coordinate,development,17,rtmpose_m,automated-source-screen,visible_nle,0.015479240699274276,all_valid_synthetic,frame_reference,all_conditions,4.0
coordinate,development,17,vitpose_base,automated-source-screen,visible_nle,0.02158078891648639,all_valid_synthetic,frame_reference,all_conditions,3.0
direct,development,17,hrnet_w32,automated-source-screen,visible_nle,0.016012403090396664,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,rtmpose_m,automated-source-screen,visible_nle,0.014183239131963222,all_valid_synthetic,frame_reference,all_conditions,1.0
direct,development,17,vitpose_base,automated-source-screen,visible_nle,0.01897214630786907,all_valid_synthetic,frame_reference,all_conditions,1.0
filter0,development,17,hrnet_w32,automated-source-screen,visible_nle,0.027026008530172833,all_valid_synthetic,frame_reference,all_conditions,13.0
filter0,development,17,rtmpose_m,automated-source-screen,visible_nle,0.024485918802280227,all_valid_synthetic,frame_reference,all_conditions,13.0
filter0,development,17,vitpose_base,automated-source-screen,visible_nle,0.03062217719140553,all_valid_synthetic,frame_reference,all_conditions,13.0
filter1,development,17,hrnet_w32,automated-source-screen,visible_nle,0.026660942478161826,all_valid_synthetic,frame_reference,all_conditions,12.0
filter1,development,17,rtmpose_m,automated-source-screen,visible_nle,0.024376783271216253,all_valid_synthetic,frame_reference,all_conditions,12.0
filter1,development,17,vitpose_base,automated-source-screen,visible_nle,0.030495582872003907,all_valid_synthetic,frame_reference,all_conditions,12.0
filter2,development,17,hrnet_w32,automated-source-screen,visible_nle,0.02657907882998349,all_valid_synthetic,frame_reference,all_conditions,11.0
filter2,development,17,rtmpose_m,automated-source-screen,visible_nle,0.02437326760386423,all_valid_synthetic,frame_reference,all_conditions,11.0
filter2,development,17,vitpose_base,automated-source-screen,visible_nle,0.03048732606477922,all_valid_synthetic,frame_reference,all_conditions,11.0
initialized,development,17,hrnet_w32,automated-source-screen,visible_nle,0.01830663633851059,all_valid_synthetic,frame_reference,all_conditions,8.0
initialized,development,17,rtmpose_m,automated-source-screen,visible_nle,0.015716383201395654,all_valid_synthetic,frame_reference,all_conditions,8.0
