method,split,seed,extractor,evidence_status,person_id,left_right_nle,endpoint,scale_policy,pair,condition
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.046274949669173816,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.06594276732308195,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub070,0.06272831469495957,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub072,0.052724020107196255,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub075,0.05923208246115649,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub086,0.05530449266540067,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub098,0.04272310003747762,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub106,0.053392799540469424,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub053,0.04242907452008624,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub054,0.05568662052301179,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub070,0.06267061751784858,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub072,0.05786537476628412,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub075,0.06065986534372385,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub086,0.050661390476236544,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub098,0.03984970513003907,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,rtmpose_m,automated-source-screen,BioMotionLab_NTroje::rub106,0.0536748038433011,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub053,0.05228272037122817,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub054,0.060649569520956875,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub070,0.05940838653204847,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub072,0.06393404584353451,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub075,0.06223190708173018,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub086,0.05429615848820199,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub098,0.04034893496025496,all_valid_synthetic,frame_reference,ankle,all_conditions
coordinate,development,17,vitpose_base,automated-source-screen,BioMotionLab_NTroje::rub106,0.057438742052702385,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub053,0.0466949451394638,all_valid_synthetic,frame_reference,ankle,all_conditions
direct,development,17,hrnet_w32,automated-source-screen,BioMotionLab_NTroje::rub054,0.03895851191122065,all_valid_synthetic,frame_reference,ankle,all_conditions
